gene_id,reactor1,reactor2,leaching1,leaching2,reactor3
BDKBJLID_00001,410,312,3154,2622,366
BDKBJLID_00002,610,332,3274,2478,424
BDKBJLID_00003,60,36,822,972,50
BDKBJLID_00004,210,132,1676,1194,168
BDKBJLID_00005,176,86,686,712,122
BDKBJLID_00006,482,326,3462,3448,418
BDKBJLID_00008,42,48,412,250,56
BDKBJLID_00009,6,0,24,50,0
BDKBJLID_00010,474,480,5232,6168,578
BDKBJLID_00011,10,14,174,112,26
BDKBJLID_00012,86,72,708,622,72
BDKBJLID_00013,310,296,4836,6080,326
BDKBJLID_00014,162,140,2344,2138,180
BDKBJLID_00015,34,26,182,220,26
BDKBJLID_00016,1644,566,9206,5796,948
BDKBJLID_00017,288,166,2708,2410,176
BDKBJLID_00018,276,264,5808,8162,332
BDKBJLID_00019,256,124,1210,996,158
BDKBJLID_00020,218,88,1030,782,88
BDKBJLID_00021,828,260,4040,2572,358
BDKBJLID_00022,56,30,412,284,16
BDKBJLID_00023,18,12,370,400,14
BDKBJLID_00024,24,22,584,544,48
BDKBJLID_00025,38,34,892,446,36
BDKBJLID_00026,98,108,2572,2000,120
BDKBJLID_00027,42,20,264,212,14
BDKBJLID_00028,52,36,658,432,26
BDKBJLID_00029,592,394,4332,3782,412
BDKBJLID_00030,60,50,704,574,48
BDKBJLID_00031,34,12,172,104,4
BDKBJLID_00032,144,98,1670,1462,140
BDKBJLID_00033,408,172,2612,1636,178
BDKBJLID_00034,142,62,746,586,96
BDKBJLID_00035,4,2,60,34,2
BDKBJLID_00036,42,16,356,234,22
BDKBJLID_00037,22,8,76,120,12
BDKBJLID_00038,6,0,50,58,10
BDKBJLID_00039,14,10,148,148,18
BDKBJLID_00040,20,18,408,204,14
BDKBJLID_00041,20,12,208,102,4
BDKBJLID_00042,286,118,3418,2276,136
BDKBJLID_00043,1476,990,9646,9122,1114
BDKBJLID_00044,52,34,356,212,46
BDKBJLID_00045,34,14,456,552,32
BDKBJLID_00046,22,30,144,126,16
BDKBJLID_00047,84,62,758,752,92
BDKBJLID_00048,6,8,88,68,0
BDKBJLID_00049,30,22,266,206,28
BDKBJLID_00050,2,6,40,38,6
BDKBJLID_00051,20,18,116,50,10
BDKBJLID_00052,18,14,262,238,18
BDKBJLID_00053,56,70,822,724,68
BDKBJLID_00054,16,22,262,274,28
BDKBJLID_00055,314,250,3168,2812,346
BDKBJLID_00056,228,180,898,1130,194
BDKBJLID_00057,1090,714,4644,3610,884
BDKBJLID_00058,450,454,5002,5600,416
BDKBJLID_00059,82,60,794,602,54
BDKBJLID_00060,38,50,546,392,26
BDKBJLID_00061,102,64,724,606,74
BDKBJLID_00062,806,460,2056,1660,568
BDKBJLID_00063,2060,1136,13050,13360,1732
BDKBJLID_00064,984,500,4940,6362,742
BDKBJLID_00065,868,452,5078,6470,682
BDKBJLID_00066,844,554,5290,6724,620
BDKBJLID_00067,862,398,5614,5464,642
BDKBJLID_00068,1020,444,5692,5796,672
BDKBJLID_00069,390,230,2380,2774,266
BDKBJLID_00070,774,550,5390,5416,540
BDKBJLID_00071,918,982,1534,2718,850
BDKBJLID_00072,98,100,786,1332,80
