gene_id,reactor1,reactor2,leaching1,leaching2,reactor3
BDKBJLID_00001,205,156,1577,1311,183
BDKBJLID_00002,305,166,1637,1239,212
BDKBJLID_00003,30,18,411,486,25
BDKBJLID_00004,105,66,838,597,84
BDKBJLID_00005,88,43,343,356,61
BDKBJLID_00006,241,163,1731,1724,209
BDKBJLID_00008,21,24,206,125,28
BDKBJLID_00009,3,0,12,25,0
BDKBJLID_00010,237,240,2616,3084,289
BDKBJLID_00011,5,7,87,56,13
BDKBJLID_00012,43,36,354,311,36
BDKBJLID_00013,155,148,2418,3040,163
BDKBJLID_00014,81,70,1172,1069,90
BDKBJLID_00015,17,13,91,110,13
BDKBJLID_00016,822,283,4603,2898,474
BDKBJLID_00017,144,83,1354,1205,88
BDKBJLID_00018,138,132,2904,4081,166
BDKBJLID_00019,128,62,605,498,79
BDKBJLID_00020,109,44,515,391,44
BDKBJLID_00021,414,130,2020,1286,179
BDKBJLID_00022,28,15,206,142,8
BDKBJLID_00023,9,6,185,200,7
BDKBJLID_00024,12,11,292,272,24
BDKBJLID_00025,19,17,446,223,18
BDKBJLID_00026,49,54,1286,1000,60
BDKBJLID_00027,21,10,132,106,7
BDKBJLID_00028,26,18,329,216,13
BDKBJLID_00029,296,197,2166,1891,206
BDKBJLID_00030,30,25,352,287,24
BDKBJLID_00031,17,6,86,52,2
BDKBJLID_00032,72,49,835,731,70
BDKBJLID_00033,204,86,1306,818,89
BDKBJLID_00034,71,31,373,293,48
BDKBJLID_00035,2,1,30,17,1
BDKBJLID_00036,21,8,178,117,11
BDKBJLID_00037,11,4,38,60,6
BDKBJLID_00038,3,0,25,29,5
BDKBJLID_00039,7,5,74,74,9
BDKBJLID_00040,10,9,204,102,7
BDKBJLID_00041,10,6,104,51,2
BDKBJLID_00042,143,59,1709,1138,68
BDKBJLID_00043,738,495,4823,4561,557
BDKBJLID_00044,26,17,178,106,23
BDKBJLID_00045,17,7,228,276,16
BDKBJLID_00046,11,15,72,63,8
BDKBJLID_00047,42,31,379,376,46
BDKBJLID_00048,3,4,44,34,0
BDKBJLID_00049,15,11,133,103,14
BDKBJLID_00050,1,3,20,19,3
BDKBJLID_00051,10,9,58,25,5
BDKBJLID_00052,9,7,131,119,9
BDKBJLID_00053,28,35,411,362,34
BDKBJLID_00054,8,11,131,137,14
BDKBJLID_00055,157,125,1584,1406,173
BDKBJLID_00056,114,90,449,565,97
BDKBJLID_00057,545,357,2322,1805,442
BDKBJLID_00058,225,227,2501,2800,208
BDKBJLID_00059,41,30,397,301,27
BDKBJLID_00060,19,25,273,196,13
BDKBJLID_00061,51,32,362,303,37
BDKBJLID_00062,403,230,1028,830,284
BDKBJLID_00063,1030,568,6525,6680,866
BDKBJLID_00064,492,250,2470,3181,371
BDKBJLID_00065,434,226,2539,3235,341
BDKBJLID_00066,422,277,2645,3362,310
BDKBJLID_00067,431,199,2807,2732,321
BDKBJLID_00068,510,222,2846,2898,336
BDKBJLID_00069,195,115,1190,1387,133
BDKBJLID_00070,387,275,2695,2708,270
BDKBJLID_00071,459,491,767,1359,425
BDKBJLID_00072,49,50,393,666,40
BDKBJLID_00073,289,255,2032,2369,228
BDKBJLID_00074,45,50,224,333,42
BDKBJLID_00075,46,19,205,133,21
BDKBJLID_00076,13,11,67,54,8
BDKBJLID_00077,95,66,900,1034,119
BDKBJLID_00078,29,15,186,221,13
BDKBJLID_00079,24,8,179,183,11
BDKBJLID_00080,155,159,1126,1129,136
BDKBJLID_00081,78,39,318,244,54
BDKBJLID_00082,111,90,705,832,117
BDKBJLID_00083,117,92,856,887,128
BDKBJLID_00084,26,16,117,112,14
BDKBJLID_00085,0,0,0,0,0
BDKBJLID_00086,1715,811,6997,7959,1181
BDKBJLID_00087,85,47,361,295,57
BDKBJLID_00088,235,112,1348,1300,163
BDKBJLID_00089,31,35,247,208,21
BDKBJLID_00090,77,28,197,273,34
BDKBJLID_00091,120,99,609,689,113
BDKBJLID_00092,778,747,3565,5244,712
BDKBJLID_00093,273,203,1999,2220,242
BDKBJLID_00094,358,335,2313,2646,347
BDKBJLID_00095,91,77,467,632,90
BDKBJLID_00096,234,212,1210,1566,188
BDKBJLID_00097,370,378,1079,1435,255
BDKBJLID_00098,577,647,2435,3384,610
BDKBJLID_00099,84,80,689,1028,116
BDKBJLID_00100,61,45,574,624,62
BDKBJLID_00101,188,202,1781,2297,270
BDKBJLID_00102,82,91,791,923,72
BDKBJLID_00103,23,42,370,380,35
BDKBJLID_00104,10,6,69,98,12
BDKBJLID_00105,1,0,7,5,0
BDKBJLID_00106,2,1,17,6,2
BDKBJLID_00107,1,3,17,18,0
BDKBJLID_00108,125,30,955,843,57
BDKBJLID_00109,81,15,590,488,33
BDKBJLID_00110,30,13,305,196,8
BDKBJLID_00111,50,30,433,317,16
BDKBJLID_00112,53,37,651,452,32
BDKBJLID_00113,168,94,1275,910,78
BDKBJLID_00114,2,0,14,9,0
BDKBJLID_00115,8,11,341,249,6
BDKBJLID_00116,350,130,2593,1673,218
BDKBJLID_00117,484,203,4195,2775,221
BDKBJLID_00118,75,40,852,514,55
BDKBJLID_00119,10,4,67,114,5
BDKBJLID_00120,16,8,340,352,22
BDKBJLID_00121,219,115,1674,1307,128
BDKBJLID_00122,19,18,79,92,14
BDKBJLID_00123,96,95,1286,1401,101
BDKBJLID_00124,146,106,1666,1643,150
BDKBJLID_00125,40,36,429,304,27
BDKBJLID_00126,55,18,494,496,32
BDKBJLID_00127,92,44,692,473,55
BDKBJLID_00128,6,3,97,79,3
BDKBJLID_00129,30,17,290,180,19
BDKBJLID_00130,117,76,1231,1025,62
BDKBJLID_00131,46,17,205,179,14
BDKBJLID_00132,745,157,2015,1292,220
BDKBJLID_00133,377,107,2770,1512,78
BDKBJLID_00134,168,81,860,577,109
BDKBJLID_00135,606,304,4756,3547,276
BDKBJLID_00136,2651,1202,28494,33704,1360
BDKBJLID_00137,433,210,1136,794,246
BDKBJLID_00138,85,66,892,534,94
BDKBJLID_00139,1084,732,8034,7201,984
BDKBJLID_00141,17,13,131,178,10
BDKBJLID_00142,24,20,224,142,13
BDKBJLID_00143,126,67,1216,681,82
BDKBJLID_00144,16,12,168,123,26
BDKBJLID_00145,13,7,76,59,2
BDKBJLID_00146,112,59,735,669,92
BDKBJLID_00147,45,36,408,329,44
BDKBJLID_00148,178,163,3925,3759,215
BDKBJLID_00149,32542,14796,213666,165986,21641
BDKBJLID_00150,404,265,4668,4120,345
BDKBJLID_00151,65,33,371,275,37
BDKBJLID_00152,19,7,136,136,8
BDKBJLID_00153,124,81,1336,1040,78
BDKBJLID_00154,130,73,1095,749,83
BDKBJLID_00155,198,136,984,923,214
BDKBJLID_00156,220,121,1116,770,139
BDKBJLID_00157,94,39,489,488,60
BDKBJLID_00158,23,20,217,224,23
BDKBJLID_00159,244,110,1559,1203,169
BDKBJLID_00160,112,70,760,641,105
BDKBJLID_00161,420,318,3481,2837,381
BDKBJLID_00162,696,652,5082,4769,703
BDKBJLID_00163,0,1,7,25,1
BDKBJLID_00164,51,23,312,312,42
BDKBJLID_00165,32,25,194,171,21
BDKBJLID_00166,30,20,224,237,14
BDKBJLID_00167,90,70,715,675,69
BDKBJLID_00168,87,47,634,641,66
BDKBJLID_00169,357,195,2240,2392,294
BDKBJLID_00170,102,45,523,421,57
BDKBJLID_00171,173,116,1131,954,129
BDKBJLID_00172,151,168,703,701,132
BDKBJLID_00173,54,33,299,382,35
BDKBJLID_00174,301,192,2068,1520,241
BDKBJLID_00175,170,79,915,715,93
BDKBJLID_00176,176,104,1674,1256,97
BDKBJLID_00177,292,173,2452,2296,246
BDKBJLID_00178,82,76,1334,1207,102
