num,Generalized functional category,log2FC,p-value
1,ATP synthase,0.861658336730742,p < 0.05
2,ATP synthase,1.10110985796281,p < 0.05
3,ATP synthase,0.63863199700252,p > 0.05
4,ATP synthase,0.822895901976631,p < 0.05
5,ATP synthase,1.1759927764842,p < 0.05
6,ATP synthase,1.50682887539182,p < 0.05
7,ATP synthase,0.805644576118517,p < 0.05
8,ATP synthase,1.03280765703946,p < 0.05
9,ATP synthase,1.02104279556308,p < 0.05
10,Carbon fixation via CBB cycle,0.354601278501126,p > 0.05
11,Carbon fixation via rTCA cycle,0.144558939891413,p > 0.05
12,Carbon fixation via rTCA cycle,0.079132885804753,p > 0.05
13,Carbon fixation via rTCA cycle,0.745775638222801,p < 0.05
14,Carbon fixation via rTCA cycle,0.617378796832277,p < 0.05
15,Carbon fixation via rTCA cycle,0.72324910235763,p < 0.05
16,Carbon fixation via rTCA cycle,1.40349798444459,p < 0.05
17,Carbon fixation via rTCA cycle,0.246522331992056,p > 0.05
18,Carbon fixation via rTCA cycle,0.275122208779881,p > 0.05
19,Carbon fixation via rTCA cycle,0.114599035011644,p > 0.05
20,Carbon fixation via rTCA cycle,0.169951206261861,p > 0.05
21,Carbon fixation via rTCA cycle,0.24027913838582,p > 0.05
22,Carbon fixation via rTCA cycle,-0.419102874787269,p > 0.05
23,Carbon fixation via rTCA cycle,1.03630539918512,p < 0.05
24,Carbon fixation via rTCA cycle,0.456612270692404,p > 0.05
25,Carbon fixation via rTCA cycle,1.22867615332856,p < 0.05
26,Carbon fixation via rTCA cycle,-0.000832897017553,p > 0.05
27,Carbon fixation via rTCA cycle,0.085211021805581,p > 0.05
28,Carbon fixation via rTCA cycle,-0.051784377050903,p > 0.05
29,Carbon fixation via rTCA cycle,-0.847241155326345,p < 0.05
30,Carbon fixation via rTCA cycle,0.539218905199893,p < 0.05
31,c−di−GMP,-0.720980198662487,p < 0.05
32,c−di−GMP,-0.097336484093371,p > 0.05
33,c−di−GMP,-0.395171803039845,p > 0.05
34,c−di−GMP,0.066912130735024,p > 0.05
35,c−di−GMP,-1.78678495147029,p < 0.05
36,c−di−GMP,-0.479926474666362,p < 0.05
37,c−di−GMP,0.285376208353201,p > 0.05
38,c−di−GMP,-0.359898254767377,p > 0.05
39,c−di−GMP,-0.298473369982733,p > 0.05
40,c−di−GMP,0.074166356177603,p > 0.05
41,c−di−GMP,0.521898463000059,p < 0.05
42,c−di−GMP,0.278715295286434,p > 0.05
43,c−di−GMP,0.232626616585841,p > 0.05
44,c−di−GMP,-0.215893095517835,p > 0.05
45,c−di−GMP,-0.339052827423857,p > 0.05
46,c−di−GMP,0.511520485775807,p < 0.05
47,c−di−GMP,-0.330904383186156,p > 0.05
48,c−di−GMP,-0.076107352292516,p > 0.05
50,c−di−GMP,-0.287879082645286,p > 0.05
51,c−di−GMP,-0.052295156778315,p > 0.05
52,c−di−GMP,-0.045177892370233,p > 0.05
53,c−di−GMP,-0.28543284298613,p > 0.05
54,c−di−GMP,0.001632318843978,p > 0.05
55,c−di−GMP,0.140079049024514,p > 0.05
56,c−di−GMP,-0.116070632784738,p > 0.05
57,c−di−GMP,-0.286687777650613,p > 0.05
59,c−di−GMP,0.3087878261477,p > 0.05
60,c−di−GMP,0.322529394708445,p > 0.05
61,c−di−GMP,-0.223481353924768,p > 0.05
62,c−di−GMP,-0.285183751631562,p > 0.05
63,c−di−GMP,0.040177879182019,p > 0.05
64,c−di−GMP,-0.580180272332323,p > 0.05
65,c−di−GMP,-1.14827195076479,p < 0.05
66,Chemotaxis,-1.17904582412749,p < 0.05
67,Chemotaxis,-0.892613809147285,p < 0.05
68,Chemotaxis,0.077279960782109,p > 0.05
69,Chemotaxis,0.312209229205979,p > 0.05
70,Chemotaxis,-1.5297182024852,p < 0.05
71,Chemotaxis,0.243293862772122,p > 0.05
72,Chemotaxis,0.093349561435065,p > 0.05
73,Chemotaxis,-2.59621243157482,p < 0.05
74,Chemotaxis,-0.946798589384598,p < 0.05
75,Chemotaxis,-1.39617283421634,p < 0.05
76,Chemotaxis,-1.76374539922652,p < 0.05
77,Chemotaxis,-0.852182712908999,p < 0.05
78,Chemotaxis,-1.76664451140832,p < 0.05
79,Chemotaxis,-1.49467859317792,p < 0.05
80,Chemotaxis,0.241905871609315,p > 0.05
81,Chemotaxis,0.419242606610489,p < 0.05
82,Chemotaxis,-0.318792951769852,p > 0.05
83,Metal resistance,-1.49705637576808,p < 0.05
84,Metal resistance,0.684160302287901,p < 0.05
85,Metal resistance,0.061932558322795,p > 0.05
86,Metal resistance,0.491680576569911,p > 0.05
87,Metal resistance,-0.389235772218831,p > 0.05
88,Metal resistance,-0.717862637769527,p < 0.05
89,Metal resistance,0.053080546740857,p > 0.05
90,Metal resistance,-4.14145686184531,p < 0.05
91,Metal resistance,-0.244594766636562,p > 0.05
92,Metal resistance,-0.202715945164787,p > 0.05
93,Metal resistance,-4.66315075651511,p < 0.05
94,Metal resistance,-0.260563491738819,p > 0.05
95,Metal resistance,0.117531412092054,p > 0.05
96,Metal resistance,-3.19593503056164,p < 0.05
97,Metal resistance,0.33623431577614,p > 0.05
98,Metal resistance,-0.49278618274076,p < 0.05
99,Metal resistance,-0.390672625441083,p > 0.05
100,Metal resistance,-0.038574267318007,p > 0.05
101,Metal resistance,-1.88584036870215,p < 0.05
102,Metal resistance,-3.14004192377682,p < 0.05
103,Metal resistance,-0.964831321289302,p > 0.05
104,Metal resistance,-0.615263248298772,p < 0.05
105,Metal resistance,0.129234856894878,p > 0.05
106,Metal resistance,0.037613974349563,p > 0.05
107,Metal resistance,-3.28893734176808,p < 0.05
108,Metal resistance,-0.260563491738819,p > 0.05
109,Metal resistance,-0.202074297970533,p > 0.05
110,Metal resistance,-0.290994446284403,p > 0.05
111,Metal resistance,-0.985260606581978,p < 0.05
112,Metal resistance,-0.997935557445227,p < 0.05
113,Metal resistance,0.060664317304746,p > 0.05
114,Metal resistance,0.17872501354172,p > 0.05
115,Metal resistance,-1.15131421697896,p < 0.05
116,Metal resistance,-0.575750544481037,p > 0.05
117,Metal resistance,-1.01130680583659,p < 0.05
118,Metal resistance,-1.10983490302852,p < 0.05
119,Metal resistance,-1.12596150966276,p > 0.05
121,Motility,0.851177147491619,p < 0.05
122,Motility,-3.43764436455783,p < 0.05
123,Motility,-2.56525602125047,p < 0.05
124,Motility,-2.43983193600945,p < 0.05
125,Motility,-2.52917944013747,p < 0.05
126,Motility,-2.9029910211896,p < 0.05
127,Motility,-2.66574627258062,p < 0.05
128,Motility,-2.36605108397585,p < 0.05
129,Motility,-2.65022023646429,p < 0.05
130,Motility,-3.38668132471069,p < 0.05
131,Motility,-2.58693715915471,p < 0.05
132,Motility,-2.59590805026924,p < 0.05
133,Motility,-3.00663048345013,p < 0.05
134,Motility,-2.31189410042478,p < 0.05
135,Motility,-3.71987054084689,p < 0.05
136,Motility,-3.55442126205095,p < 0.05
137,Motility,-3.84615555345774,p < 0.05
138,Motility,-2.24864295115455,p < 0.05
139,Motility,-2.29262712478851,p > 0.05
140,Motility,-2.45854569712804,p < 0.05
141,Motility,-3.52507095682538,p < 0.05
142,Motility,-3.63890063247982,p < 0.05
143,Motility,-3.74869894584689,p < 0.05
144,Motility,-3.69640740788568,p < 0.05
145,Motility,-3.39721974617818,p < 0.05
146,Motility,-2.80170094545394,p < 0.05
147,Motility,-2.43680199716656,p < 0.05
148,Motility,-2.62667441917593,p < 0.05
149,Motility,-1.54714326291779,p < 0.05
150,Motility,-1.09061983292324,p < 0.05
151,Motility,-2.19826849926265,p < 0.05
152,Motility,-1.73351568760379,p < 0.05
153,Motility,-1.5802773829558,p < 0.05
154,Motility,-2.43730896357155,p < 0.05
155,Motility,-2.71715072668549,p < 0.05
156,Motility,-1.90336827042851,p < 0.05
157,Motility,-2.22228361729511,p < 0.05
158,Motility,-2.84707654599369,p < 0.05
159,Motility,-2.07215273577628,p < 0.05
160,Motility,-2.54829674331939,p < 0.05
161,NADH dehydrogenase,0.317324742087579,p > 0.05
162,NADH dehydrogenase,-0.377092242086935,p > 0.05
163,NADH dehydrogenase,-0.617028621249707,p > 0.05
164,NADH dehydrogenase,-1.97228044586082,p < 0.05
165,NADH dehydrogenase,-0.325400271554187,p > 0.05
166,NADH dehydrogenase,0.063808086012605,p > 0.05
167,NADH dehydrogenase,0.667082123200459,p < 0.05
168,NADH dehydrogenase,0.293302824162535,p > 0.05
169,NADH dehydrogenase,0.229643254216086,p > 0.05
170,NADH dehydrogenase,0.848508609435283,p < 0.05
171,NADH dehydrogenase,0.440582678592755,p > 0.05
172,NADH dehydrogenase,-0.139762827217777,p > 0.05
173,NADH dehydrogenase,0.504266236886375,p < 0.05
174,NADH dehydrogenase,0.273030472937981,p > 0.05
175,NADH dehydrogenase,0.438120351231346,p < 0.05
176,NADH dehydrogenase,1.05927175983384,p < 0.05
177,NADH dehydrogenase,0.762184009249438,p < 0.05
178,NADH dehydrogenase,0.049658765727316,p > 0.05
179,NADH dehydrogenase,0.580907007944699,p < 0.05
180,NADH dehydrogenase,0.433505593194876,p > 0.05
181,NADH dehydrogenase,0.446331871576761,p > 0.05
182,Oxidative stress response,0.336213386177334,p > 0.05
183,Oxidative stress response,0.734363907548614,p < 0.05
184,Oxidative stress response,-1.22362715462838,p < 0.05
185,Oxidative stress response,0.46569963424423,p < 0.05
186,Oxidative stress response,0.056078773107189,p > 0.05
187,Oxidative stress response,-0.292658117994305,p > 0.05
188,Oxidative stress response,-1.11785792151866,p < 0.05
189,Oxidative stress response,0.797085203199775,p < 0.05
190,Oxidative stress response,2.11928368872938,p < 0.05
191,Oxidative stress response,-0.40665481306852,p > 0.05
192,Oxidative stress response,0.655964484742308,p < 0.05
193,Oxidative stress response,0.6295840300396,p < 0.05
194,Oxidative stress response,0.343048732527658,p > 0.05
195,Oxidative stress response,-0.153230075514847,p > 0.05
196,Oxidative stress response,0.541822321744191,p < 0.05
197,Oxidative stress response,-0.246957773847676,p > 0.05
198,Oxidative stress response,0.24027913838582,p > 0.05
199,Oxidative stress response,-0.419102874787269,p > 0.05
200,Oxidative stress response,0.613836702335067,p < 0.05
201,Oxidative stress response,0.531367230285406,p < 0.05
202,Oxidative stress response,-0.018785993761417,p > 0.05
203,Oxidative stress response,0.195134746989211,p > 0.05
204,Oxidative stress response,-0.176162668384763,p > 0.05
205,Oxidative stress response,-0.019825826693192,p > 0.05
206,Oxidative stress response,0.079132885804753,p > 0.05
207,Oxidative stress response,0.546849117052942,p < 0.05
208,Oxidative stress response,-0.255027549737594,p > 0.05
209,Oxidative stress response,0.056078773107189,p > 0.05
210,Oxidative stress response,0.275957140124432,p > 0.05
211,Oxidative stress response,-0.607200032961716,p > 0.05
212,Oxidative stress response,-0.439429821952462,p > 0.05
213,Oxidative stress response,-0.50388195969426,p > 0.05
214,Oxidative stress response,2.51113974253359,p < 0.05
215,Oxidative stress response,-0.551831996431925,p < 0.05
216,Oxidative stress response,0.400942310244881,p < 0.05
217,Oxidative stress response,0.253788076142059,p > 0.05
218,Oxidative stress response,4.02877709891323,p < 0.05
219,Oxidative stress response,-0.247312951083388,p > 0.05
220,pH homeostasis,0.667020720384075,p > 0.05
221,pH homeostasis,0.454295427401287,p > 0.05
222,pH homeostasis,1.04287434985345,p < 0.05
223,pH homeostasis,-0.033962852683057,p > 0.05
224,pH homeostasis,0.086451500299734,p > 0.05
225,pH homeostasis,-0.135191713675348,p > 0.05
226,pH homeostasis,0.464235368395227,p < 0.05
227,pH homeostasis,-0.354930460973103,p > 0.05
228,pH homeostasis,0.519668261122775,p > 0.05
229,pH homeostasis,-0.208241768641816,p > 0.05
230,pH homeostasis,-0.135191713675348,p > 0.05
231,pH homeostasis,0.885021883879111,p < 0.05
232,pH homeostasis,0.191842321230174,p > 0.05
233,pH homeostasis,-0.379437248072495,p > 0.05
234,pH homeostasis,0.400942310244881,p < 0.05
235,pH homeostasis,0.253788076142059,p > 0.05
236,pH homeostasis,-0.247312951083388,p > 0.05
237,pH homeostasis,-0.072718359949108,p > 0.05
238,pH homeostasis,-0.212739601367313,p > 0.05
