Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR2036629_P1.trim	95.40767705104483	56.0	117.84820675506747	36.36363636363637	21793091.0
ERR2036629_P2.trim	95.71199282440735	57.0	123.77193414188011	18.181818181818183	21793091.0
ERR2036630_P1.trim	96.16247958680626	56.0	118.82962984524505	36.36363636363637	21987020.0
ERR2036630_P2.trim	95.95693725881137	56.0	123.08375004889248	18.181818181818183	21987020.0
ERR2036631_P1.trim	79.81680105250818	52.0	120.7793864760802	9.090909090909092	15822040.0
ERR2036631_P2.trim	77.30358557143943	52.0	118.65281063630228	9.090909090909092	15822040.0
ERR2036632_P1.trim	83.40382079606091	52.0	120.91912238809257	9.090909090909092	16162087.0
ERR2036632_P2.trim	82.41981605733248	51.0	120.25935883156674	18.181818181818183	16162087.0
ERR2036633_P1.trim	95.98810591331603	56.0	118.21119631221069	36.36363636363637	22349216.0
ERR2036633_P2.trim	96.05269224901215	56.0	123.26707934631801	18.181818181818183	22349216.0
ERR2117288_P1.trim	95.40767705104483	56.0	117.84820675506747	36.36363636363637	21793091.0
ERR2117288_P2.trim	95.71199282440735	57.0	123.77193414188011	18.181818181818183	21793091.0
ERR2117289_P1.trim	96.16247958680626	56.0	118.82962984524505	36.36363636363637	21987020.0
ERR2117289_P2.trim	95.95693725881137	56.0	123.08375004889248	18.181818181818183	21987020.0
ERR2117290_P1.trim	79.81680105250818	52.0	120.7793864760802	9.090909090909092	15822040.0
ERR2117290_P2.trim	77.30358557143943	52.0	118.65281063630228	9.090909090909092	15822040.0
ERR2117291_P1.trim	83.40382079606091	52.0	120.91912238809257	9.090909090909092	16162087.0
ERR2117291_P2.trim	82.41981605733248	51.0	120.25935883156674	18.181818181818183	16162087.0
ERR2117292_P1.trim	95.98810591331603	56.0	118.21119631221069	36.36363636363637	22349216.0
ERR2117292_P2.trim	96.05269224901215	56.0	123.26707934631801	18.181818181818183	22349216.0
