Module	Section	Sample Name	Source
FastQC	all_sections	ERR2117291_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117291_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117290_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117290_P2.trim_fastqc.zip
FastQC	all_sections	ERR2117292_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117292_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117288_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117288_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036632_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036632_P2.trim_fastqc.zip
FastQC	all_sections	ERR2036632_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036632_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036629_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036629_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036631_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036631_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117290_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117290_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036633_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036633_P2.trim_fastqc.zip
FastQC	all_sections	ERR2117292_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117292_P2.trim_fastqc.zip
FastQC	all_sections	ERR2036633_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036633_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117289_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117289_P1.trim_fastqc.zip
FastQC	all_sections	ERR2036629_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036629_P2.trim_fastqc.zip
FastQC	all_sections	ERR2036630_P1.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036630_P1.trim_fastqc.zip
FastQC	all_sections	ERR2117291_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117291_P2.trim_fastqc.zip
FastQC	all_sections	ERR2117288_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117288_P2.trim_fastqc.zip
FastQC	all_sections	ERR2117289_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2117289_P2.trim_fastqc.zip
FastQC	all_sections	ERR2036630_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036630_P2.trim_fastqc.zip
FastQC	all_sections	ERR2036631_P2.trim	/home/arnar/Documents/GitHub/GenomeAnalysis/fastqc_output/trim/paired/ERR2036631_P2.trim_fastqc.zip
