Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR2036629_S1.trim	86.96217115058397	56.0	84.97252569129522	36.36363636363637	2433801.0
ERR2036629_S2.trim	26.754627084478656	55.0	94.28513835440718	18.181818181818183	10914.0
ERR2036630_S1.trim	89.08889871572121	57.0	83.46228601644974	27.27272727272727	3139260.0
ERR2036630_S2.trim	24.78376196517125	55.0	93.32233883058471	18.181818181818183	8671.0
ERR2036631_S1.trim	67.77410614086122	55.0	80.55208610709226	18.181818181818183	4645471.0
ERR2036631_S2.trim	1.212121212121204	52.0	120.16969696969697	27.27272727272727	165.0
ERR2036632_S1.trim	81.02551946813014	55.0	76.9893285334036	36.36363636363637	10664045.0
ERR2036632_S2.trim	1.687763713080173	51.0	121.41772151898734	27.27272727272727	237.0
ERR2036633_S1.trim	87.2003854012886	57.0	83.46775006283617	27.27272727272727	2486625.0
ERR2036633_S2.trim	26.925795053003526	56.0	93.56385663806158	9.090909090909092	9905.0
ERR2117288_S1.trim	86.96217115058397	56.0	84.97252569129522	36.36363636363637	2433801.0
ERR2117288_S2.trim	26.754627084478656	55.0	94.28513835440718	18.181818181818183	10914.0
ERR2117289_S1.trim	89.08889871572121	57.0	83.46228601644974	27.27272727272727	3139260.0
ERR2117289_S2.trim	24.78376196517125	55.0	93.32233883058471	18.181818181818183	8671.0
ERR2117290_S1.trim	67.77410614086122	55.0	80.55208610709226	18.181818181818183	4645471.0
ERR2117290_S2.trim	1.212121212121204	52.0	120.16969696969697	27.27272727272727	165.0
ERR2117291_S1.trim	81.02551946813014	55.0	76.9893285334036	36.36363636363637	10664045.0
ERR2117291_S2.trim	1.687763713080173	51.0	121.41772151898734	27.27272727272727	237.0
ERR2117292_S1.trim	87.2003854012886	57.0	83.46775006283617	27.27272727272727	2486625.0
ERR2117292_S2.trim	26.925795053003526	56.0	93.56385663806158	9.090909090909092	9905.0
