All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     lferriphilum_1contig
# misassemblies              0                   
    # relocations            0                   
    # translocations         0                   
    # inversions             0                   
# misassembled contigs       0                   
Misassembled contigs length  0                   
# local misassemblies        0                   
# unaligned mis. contigs     1                   
# mismatches                 10347               
# indels                     277                 
    # indels (<= 5 bp)       262                 
    # indels (> 5 bp)        15                  
Indels length                491                 
