Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	KEGG_KO	BiGG_reactions	COG_cat
c-di-GMP specific phosphodiestereases (EAL domain-containing proteins)	LFTS_00034	gmr, csgD	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	BDKBJLID_00885	putative diguanylate phosphodiesterase	LFTS_00034	~~~~~~EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	Diguanylate phosphodiesterase					T
	LFTS_00314	gmr, csgD	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	BDKBJLID_01178	putative diguanylate phosphodiesterase	LFTS_00314	~~~~~~EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	Diguanylate phosphodiesterase	BMUL_0359				T
Genes encoding proteins with EAL and GGDEF domains	LFTS_00089		Diguanylate cyclase / phosphodiesterase with GAF sensor	BDKBJLID_00940	diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00089	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	GAF sensor-containing diguanylate cyclase phosphodiesterase					T
	LFTS_00405		"PAS/PAC and Chase sensor-containing diguanylate 
cyclase/phosphodiesterase"	BDKBJLID_01275	putative signal transduction protein	LFTS_00405	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase phosphodiesterase with PAS PAC					T
	LFTS_00479		Signalling repeat/GGDEF domain/EAL domain protein	BDKBJLID_01357	putative signal transduction protein	LFTS_00479	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase phosphodiesterase	ENC_35130	GO:0005575 GO:0005623 GO:0005886 GO:0016020 GO:0044464 GO:0071944			T
	LFTS_00575		Signalling repeat/GGDEF domain/EAL domain protein	BDKBJLID_01453	PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00575	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase phosphodiesterase with PAS PAC					T
	LFTS_00733		Signalling repeat/GGDEF domain/EAL domain protein	BDKBJLID_01613	diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00733	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase phosphodiesterase					T
	LFTS_00493		Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S)	BDKBJLID_01371	PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00493	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase phosphodiesterase with PAS PAC					T
	LFTS_00663 		Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S)	BDKBJLID_01541	PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00663	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase phosphodiesterase with PAS PAC					T
	LFTS_00709		Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S)	BDKBJLID_01589	putative signal transduction protein	LFTS_00709	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase phosphodiesterase with PAS PAC					T
	LFTS_01908		Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S)	BDKBJLID_00201	PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	LFTS_01908	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase phosphodiesterase with PAS PAC				CDGUNPD DGUNC	T
	LFTS_00968		"Diguanylate cyclase/phosphodiesterase with GAF sensor 
Diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains)"	BDKBJLID_01853	hypothetical protein	LFTS_00968	~~~~~~hypothetical protein						
	LFTS_01006		Diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains)	BDKBJLID_01891	hypothetical protein	LFTS_01006	~~~~~~hypothetical protein						
	LFTS_01595		"Response regulator receiver modulated diguanylate 
cyclase/phosphodiesterase with PAS/PAC sensor(S)"	BDKBJLID_02463	response regulator receiver modulated diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s)	LFTS_01595	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	response regulator receiver modulated diguanylate cyclase phosphodiesterase					T
