Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	KEGG_KO	BiGG_reactions	COG_cat	
Reductive TCA cycle carbon dioxide fixation	LFTS_00876	mdh2	Malate dehydrogenase (NAD)	BDKBJLID_01761	lipopolysaccharide export system protein	LFTS_00876	~~~~~~LPS export ABC transporter protein LptC							
	LFTS_01556	fumC	Fumarase class II	BDKBJLID_02424	fumarate hydratase class II(FumC)	LFTS_01556	4.2.1.2~~~fumC~~~fumarase	 class II	fumarate hydratase class II	FUMC	GO:0003674 GO:0003824 GO:0004333 GO:0005575 GO:0005576 GO:0005618 GO:0005622 GO:0005623 GO:0005737 GO:0005829 GO:0005886 GO:0006091 GO:0006099 GO:0008150 GO:0008152 GO:0009060 GO:0009987 GO:0015980 GO:0016020 GO:0016829 GO:0016835 GO:0016836 GO:0030312 GO:0040007 GO:0044237 GO:0044238 GO:0044424 GO:0044444 GO:0044464 GO:0044710 GO:0045333 GO:0055114 GO:0071944	K00027 K01679	FUM	C
	LFTS_00585		"Succinate dehydrogenase / fumarate reductase flavoprotein 
subunit"	BDKBJLID_01463	fumarate reductase/succinate dehydrogenase flavoprotein-like protein	LFTS_00585	1.3.5.1~~~~~~succinate dehydrogenase / fumarate reductase flavoprotein subunit	Succinate dehydrogenase (Flavoprotein subunit)			K00239 K00278		C	
	LFTS_00579	sucD	Succinyl-CoA synthetase alpha subunit	BDKBJLID_01457	succinyl-CoA synthetase	 alpha subunit	LFTS_00579	6.2.1.5~~~sucD1~~~succinyl-CoA synthetase alpha subunit	CoA binding domain			K01902 K15233		C
	LFTS_00587			BDKBJLID_01465	succinyl-CoA synthetase	 alpha subunit	LFTS_00587	6.2.1.5~~~~~~succinyl-CoA synthetase alpha subunit	Succinyl-CoA ligase ADP-forming subunit alpha	SUCD		K01902 K08692		C
	LFTS_00586	sucC	Succinyl-CoA synthetase beta subunit	BDKBJLID_01464	succinyl-CoA synthetase	 beta subunit	LFTS_00586	6.2.1.5~~~sucC~~~succinyl-CoA synthetase beta subunit	Succinyl-CoA synthetase subunit beta	SUCC	GO:0005575 GO:0005618 GO:0005622 GO:0005623 GO:0005737 GO:0005829 GO:0008150 GO:0030312 GO:0040007 GO:0044424 GO:0044444 GO:0044464 GO:0071944	K01903	SUCOAS	C
	LFTS_02458	forA2	pyruvate ferredoxin oxidoreductase alpha subunit	BDKBJLID_00766	pyruvate:ferredoxin oxidoreductase alpha subunit	LFTS_02458	1.2.7.1~~~forA2~~~pyruvate ferredoxin oxidoreductase alpha subunit	pyruvate flavodoxin ferredoxin oxidoreductase	FORA		K00169		C	
	LFTS_02457	forB2	pyruvate ferredoxin oxidoreductase beta subunit	BDKBJLID_00765	Pyruvate synthase beta subunit/ Pyruvate ferredoxin oxidoreductase	LFTS_02457	1.2.7.1~~~forB2~~~pyruvate ferredoxin oxidoreductase beta subunit	Thiamine pyrophosphate enzyme  C-terminal TPP binding domain					C	
	LFTS_02451	forG1	pyruvate ferredoxin oxidoreductase gamma subunit	BDKBJLID_00759	Pyruvate:ferredoxin oxidoreductase gamma subunit	LFTS_02451	1.2.7.1~~~forG1~~~pyruvate ferredoxin oxidoreductase gamma subunit	oxidoreductase gamma subunit			K00172		C	
