Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
Chemotaxis	LFTS_00183		methyl-accepting chemotaxis protein	BDKBJLID_01039	methyl-accepting chemotaxis protein	LFTS_00183	~~~~~~methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).				ko:K03406		NT
	LFTS_00227		methyl-accepting chemotaxis protein	BDKBJLID_01085	putative methyl-accepting chemotaxis protein	LFTS_00227	~~~~~~methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis protein				ko:K03406		NT
	LFTS_01445		methyl-accepting chemotaxis protein	BDKBJLID_02310	methyl-accepting chemotaxis sensory transducer	LFTS_01445	~~~~~~Methyl-accepting chemotaxis protein	transmembrane signaling receptor activity						NT
	LFTS_01455		methyl-accepting chemotaxis protein	BDKBJLID_02320	putative methyl-accepting chemotaxis sensory transducer	LFTS_01455	~~~~~~methyl-accepting chemotaxis protein	transmembrane signaling receptor activity				ko:K03406		NT
	LFTS_01548		methyl-accepting chemotaxis protein	BDKBJLID_02416	putative methyl-accepting chemotaxis sensory transducer	LFTS_01548	~~~~~~methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis protein				ko:K03406		NT
	LFTS_01731		methyl-accepting chemotaxis protein	BDKBJLID_00016	methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor	LFTS_01731	~~~~~~methyl-accepting chemotaxis protein	chemotaxis, protein				ko:K03406		NT
	LFTS_02147		methyl-accepting chemotaxis protein	BDKBJLID_00448	methyl-accepting chemotaxis protein	LFTS_02147	~~~~~~methyl-accepting chemotaxis protein	transmembrane signaling receptor activity				ko:K03406		NT
	LFTS_00223	cheR	chemotaxis protein methyltransferase	BDKBJLID_01081	chemotaxis protein methyltransferase CheR	LFTS_00223	2.1.1.80~~~~~~chemotaxis protein methyltransferase CheR	Methylation of the membrane-bound methyl-accepting chemotaxis proteins (MCP) to form gamma-glutamyl methyl ester residues in MCP	cheR		2.1.1.80	ko:K00575		NT
	LFTS_00224	cheY3	"two-component systemchemotaxis familyresponse 
regulator"	BDKBJLID_01082	putative chemotaxis regulator protein CheY	LFTS_00224	~~~cheY3~~~two-component system, chemotaxis family, response regulator CheY	cheY-homologous receiver domain						T
	LFTS_00225	cheA	two-component systemchemotaxis familysensor kinase	BDKBJLID_01083	putative chemotaxis protein histidine kinase CheA	LFTS_00225	2.7.13.3~~~cheA~~~two-component system, chemotaxis family, sensor kinase CheA	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism	cheA		2.7.13.3	ko:K03407		NT
	LFTS_00226	cheB	"two-component systemchemotaxis familyresponse 
regulator"	BDKBJLID_01084	putative chemotaxis regulator CheB	LFTS_00226	3.1.1.61~~~~~~two-component system, chemotaxis family, response regulator CheB	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR	cheB	GO:0006935,GO:0008150,GO:0009605,GO:0040011,GO:0042221,GO:0042330,GO:0044403,GO:0044419,GO:0050896,GO:0051701,GO:0051704,GO:0052116,GO:0052126,GO:0052127,GO:0052143,GO:0052192,GO:0052195,GO:0052216,GO:0052243	3.1.1.61,3.5.1.44	ko:K03412		NT
	LFTS_00228	cheW	purine-binding chemotaxis protein	BDKBJLID_01086	putative chemotaxis protein CheW	LFTS_00228	~~~~~~purine-binding chemotaxis protein CheW	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism	cheW40H-1			ko:K03408,ko:K03415		NT
	LFTS_00229	motA	chemotaxis protein	BDKBJLID_01087	putative flagellar motor component MotA	LFTS_00229	~~~~~~chemotaxis protein MotA	MotA/TolQ/ExbB proton channel family	motC			ko:K02556		N
	LFTS_00230	motB1	chemotaxis protein	BDKBJLID_01088	putative flagellar motor protein OmpA/MotB	LFTS_00230	~~~motB1~~~chemotaxis protein MotB	Membrane MotB of proton-channel complex MotA/MotB	motB			ko:K02557		N
	LFTS_00710	cheZ	chemotaxis protein	BDKBJLID_01590	chemotaxis protein CheZ	LFTS_00710	~~~~~~chemotaxis protein CheZ	Chemotaxis phosphatase, CheZ	cheZ	GO:0001539,GO:0003674,GO:0003824,GO:0004721,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019538,GO:0032991,GO:0036211,GO:0040011,GO:0042578,GO:0042802,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071704,GO:0071944,GO:0071973,GO:0071975,GO:0071977,GO:0097588,GO:0098561,GO:0140096,GO:1901564		ko:K03414		NT
	LFTS_00799	cheV	"two-component systemchemotaxis familyresponse 
regulator"	BDKBJLID_01682	chemotaxis signal transduction protein, cheV	LFTS_00799	~~~~~~two-component system, chemotaxis family, response regulator CheV	Two component signalling adaptor domain	cheV	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006935,GO:0008150,GO:0009605,GO:0040011,GO:0042221,GO:0042330,GO:0044424,GO:0044444,GO:0044464,GO:0050896	2.7.13.3	ko:K03407,ko:K03408,ko:K03415		T
	LFTS_02318	fliM	flagellar motor switch protein	BDKBJLID_00625	flagellar motor switch protein,fliM	LFTS_02318	~~~~~~flagellar motor switch protein FliM	Flagellar motor switch protein FliM	fliM			ko:K02416		N
Motility	LFTS_00196	fleQ	"sigma-54 specific transcriptional regulator, flagellar 
regulatory protein A"	BDKBJLID_01053	putative sigma-54-specific transcriptional regulator, Fis family	LFTS_00196	~~~~~~sigma-54 specific transcriptional regulator, flagellar regulatory protein A	phosphorelay signal transduction system	fleQ			ko:K10941		T
	LFTS_00198	flrB	two-component systemsensor histidine kinase	BDKBJLID_01055	putative PAS/PAC sensor signal transduction histidine kinase	LFTS_00198	2.7.13.3~~~~~~two-component system, sensor histidine kinase FlrB	phosphorelay sensor kinase activity	flrB		2.7.13.3	ko:K10942		T
	LFTS_00199	flrC	two-component systemresponse regulator	BDKBJLID_01057	Putative two component, sigma54 specific, transcriptional regulator, Fis family	LFTS_00199	~~~~~~two-component system, response regulator FlrC	Bacterial regulatory protein, Fis family	atoC			ko:K07713,ko:K07714,ko:K10943		T
	LFTS_00200	flgB	flagellar basal-body rod protein	BDKBJLID_01058	putative flagellar basal-body rod protein FlgB	LFTS_00200	~~~~~~flagellar basal-body rod protein FlgB	Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body	flgB	GO:0001539,GO:0005575,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009424,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044422,GO:0044461,GO:0044463,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588		ko:K02387		N
	LFTS_00201	flgC	flagellar basal-body rod protein	BDKBJLID_01059	putative flagellar basal-body rod protein FlgC	LFTS_00201	~~~flgC~~~flagellar basal-body rod protein FlgC	Belongs to the flagella basal body rod proteins family	flgC			ko:K02388		N
	LFTS_00202	fliE	flagellar hook-basal body complex protein	BDKBJLID_01060	putative flagellar basal body protein FliE	LFTS_00202	~~~fliE~~~flagellar hook-basal body complex protein FliE	Flagellar hook-basal body complex protein FliE	fliE			ko:K02408		N
	LFTS_00203	fliF	flagellar M-ring protein	BDKBJLID_01061	putative flagellar M-ring protein FliF	LFTS_00203	~~~~~~flagellar M-ring protein FliF	The M ring may be actively involved in energy transduction	fliF			ko:K02409		N
