locus_tag	ftype	gene	EC_number	product
BDKBJLID_00001	CDS	hemG_1		protoporphyrinogen oxidase
BDKBJLID_00001	gene	hemG_1		
BDKBJLID_00002	CDS	hemG_2		protoporphyrinogen oxidase
BDKBJLID_00002	gene	hemG_2		
BDKBJLID_00003	CDS			hypothetical protein
BDKBJLID_00003	gene			
BDKBJLID_00004	CDS			EamA-like transporter family protein
BDKBJLID_00004	gene			
BDKBJLID_00005	CDS			chloride channel protein EriC
BDKBJLID_00005	gene			
BDKBJLID_00006	CDS			chloride channel protein EriC
BDKBJLID_00006	gene			
BDKBJLID_00007	tRNA			tRNA-Arg(ccg)
BDKBJLID_00007	gene			
BDKBJLID_00008	CDS			Site-specific recombinase XerD
BDKBJLID_00008	gene			
BDKBJLID_00009	CDS			Phage integrase family protein
BDKBJLID_00009	gene			
BDKBJLID_00010	CDS			hypothetical protein
BDKBJLID_00010	gene			
BDKBJLID_00011	CDS			hypothetical protein
BDKBJLID_00011	gene			
BDKBJLID_00012	CDS			putative phage-associated protein
BDKBJLID_00012	gene			
BDKBJLID_00013	CDS			ribonuclease
BDKBJLID_00013	gene			
BDKBJLID_00014	CDS	vapC		toxin-antitoxin system PIN domain toxin
BDKBJLID_00014	gene	vapC		
BDKBJLID_00015	CDS			hypothetical protein
BDKBJLID_00015	gene			
BDKBJLID_00016	CDS			methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor
BDKBJLID_00016	gene			
BDKBJLID_00017	CDS			hypothetical protein
BDKBJLID_00017	gene			
BDKBJLID_00018	CDS			hypothetical protein
BDKBJLID_00018	gene			
BDKBJLID_00019	CDS			Cache domain-containing protein
BDKBJLID_00019	gene			
BDKBJLID_00020	CDS			hypothetical protein
	sig_peptide			putative signal peptide
BDKBJLID_00020	gene			
BDKBJLID_00021	CDS			aldo/keto reductase
BDKBJLID_00021	gene			
BDKBJLID_00022	CDS		3.2.2.21	DNA-3-methyladenine glycosylase II
BDKBJLID_00022	gene			
BDKBJLID_00023	CDS			methylated DNA-protein cysteine methyltransferase
BDKBJLID_00023	gene			
BDKBJLID_00024	CDS			Putative MetA-pathway of phenol degradation
BDKBJLID_00024	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00025	CDS			Tetratricopeptide repeat-containing protein
BDKBJLID_00025	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00026	CDS			hypothetical protein
BDKBJLID_00026	gene			
BDKBJLID_00027	CDS			hypothetical protein
BDKBJLID_00027	gene			
BDKBJLID_00028	CDS			DNA-3-methyladenine glycosylase
BDKBJLID_00028	gene			
BDKBJLID_00029	CDS			putative proteasome-type protease
BDKBJLID_00029	gene			
BDKBJLID_00030	CDS			hypothetical protein
BDKBJLID_00030	gene			
BDKBJLID_00031	CDS			hypothetical protein
BDKBJLID_00031	gene			
BDKBJLID_00032	CDS			hypothetical protein
BDKBJLID_00032	gene			
BDKBJLID_00033	CDS			Polyisoprenoid-binding protein YceI
BDKBJLID_00033	gene			
BDKBJLID_00034	CDS			hypothetical protein
BDKBJLID_00034	gene			
BDKBJLID_00035	CDS			plasmid maintenance system antidote protein, XRE family
BDKBJLID_00035	gene			
BDKBJLID_00036	CDS			NADH dehydrogenase (Quinone)
BDKBJLID_00036	gene			
BDKBJLID_00037	CDS			formate hydrogenlyase subunit 4
BDKBJLID_00037	gene			
BDKBJLID_00038	CDS	hyfE		hydrogenase 4 membrane component
BDKBJLID_00038	gene	hyfE		
BDKBJLID_00039	CDS			NADH dehydrogenase (Quinone)
BDKBJLID_00039	gene			
BDKBJLID_00040	CDS			putative NADH-ubiquinone oxidoreductase, 49 kDa subunit
BDKBJLID_00040	gene			
BDKBJLID_00041	CDS			putative NADH ubiquinone oxidoreductase, 20 kDa subunit
BDKBJLID_00041	gene			
BDKBJLID_00042	CDS			hypothetical protein
BDKBJLID_00042	gene			
BDKBJLID_00043	CDS			putative cyclic nucleotide-binding protein
BDKBJLID_00043	gene			
BDKBJLID_00044	CDS			putative ATP-dependent DNA helicase MPH1
BDKBJLID_00044	gene			
BDKBJLID_00045	CDS			hypothetical protein
BDKBJLID_00045	gene			
BDKBJLID_00046	CDS			hypothetical protein
BDKBJLID_00046	gene			
BDKBJLID_00047	CDS			hypothetical protein
BDKBJLID_00047	gene			
BDKBJLID_00048	CDS			prevent-host-death protein
BDKBJLID_00048	gene			
BDKBJLID_00049	CDS			PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)
BDKBJLID_00049	gene			
BDKBJLID_00050	CDS			Putative restriction endonuclease
BDKBJLID_00050	gene			
BDKBJLID_00051	CDS			Putative restriction endonuclease
BDKBJLID_00051	gene			
BDKBJLID_00052	CDS			plasmid stability protein
BDKBJLID_00052	gene			
BDKBJLID_00053	CDS			putative nucleic acid-binding protein, contains PIN domain
BDKBJLID_00053	gene			
BDKBJLID_00054	CDS			hypothetical protein
BDKBJLID_00054	gene			
BDKBJLID_00055	CDS			Endonuclease, Uma2 family (restriction endonuclease fold)
BDKBJLID_00055	gene			
BDKBJLID_00056	CDS			hypothetical protein
BDKBJLID_00056	gene			
BDKBJLID_00057	CDS			response regulator/putative metal-dependent phosphohydrolase
BDKBJLID_00057	gene			
BDKBJLID_00058	CDS			hypothetical protein
BDKBJLID_00058	gene			
BDKBJLID_00059	CDS			putative transcriptional regulator, TetR family
BDKBJLID_00059	gene			
BDKBJLID_00060	CDS			DsrE/DsrF-like family protein
BDKBJLID_00060	gene			
BDKBJLID_00061	CDS			hypothetical protein
	sig_peptide			putative signal peptide
BDKBJLID_00061	gene			
BDKBJLID_00062	CDS			hypothetical protein
BDKBJLID_00062	gene			
BDKBJLID_00063	CDS			radical SAM domain-containing protein
BDKBJLID_00063	gene			
BDKBJLID_00064	CDS			GHMP kinase
BDKBJLID_00064	gene			
BDKBJLID_00065	CDS			NAD-dependent epimerase/dehydratase
BDKBJLID_00065	gene			
BDKBJLID_00066	CDS			acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
BDKBJLID_00066	gene			
BDKBJLID_00067	CDS			transketolase-like protein
BDKBJLID_00067	gene			
BDKBJLID_00068	CDS			putative pyridoxal phosphate-dependent enzyme
BDKBJLID_00068	gene			
BDKBJLID_00069	CDS			D-glycero-D-manno-heptose 1-phosphate guanosyltransferase
BDKBJLID_00069	gene			
BDKBJLID_00070	CDS			NAD-dependent epimerase/dehydratase
BDKBJLID_00070	gene			
BDKBJLID_00071	CDS			hypothetical protein
BDKBJLID_00071	gene			
BDKBJLID_00072	CDS			Transposase
BDKBJLID_00072	gene			
BDKBJLID_00073	CDS			putative transposase
BDKBJLID_00073	gene			
BDKBJLID_00074	CDS			hypothetical protein
BDKBJLID_00074	gene			
BDKBJLID_00075	CDS			Transposase
BDKBJLID_00075	gene			
BDKBJLID_00076	CDS			DNA replication protein DnaC
BDKBJLID_00076	gene			
BDKBJLID_00077	CDS			hypothetical protein
BDKBJLID_00077	gene			
BDKBJLID_00078	CDS			IstB-like ATP binding protein
BDKBJLID_00078	gene			
BDKBJLID_00079	CDS			putative IstB-like ATP-binding protein
BDKBJLID_00079	gene			
BDKBJLID_00080	CDS			Transposase
BDKBJLID_00080	gene			
BDKBJLID_00081	CDS			Transposase (or an inactivated derivative)
BDKBJLID_00081	gene			
BDKBJLID_00082	CDS			Transposase (or an inactivated derivative)
BDKBJLID_00082	gene			
BDKBJLID_00083	CDS			Nucleotidyl transferase AbiEii toxin, Type IV TA system
BDKBJLID_00083	gene			
BDKBJLID_00084	CDS			Transposase
BDKBJLID_00084	gene			
BDKBJLID_00085	CDS			putative transposase
BDKBJLID_00085	gene			
BDKBJLID_00086	CDS			hypothetical protein
BDKBJLID_00086	gene			
BDKBJLID_00087	CDS			Transposase (or an inactivated derivative)
BDKBJLID_00087	gene			
BDKBJLID_00088	CDS			Transposase
BDKBJLID_00088	gene			
BDKBJLID_00089	CDS			DNA replication protein DnaC
BDKBJLID_00089	gene			
BDKBJLID_00090	CDS			DNA replication protein DnaC
BDKBJLID_00090	gene			
BDKBJLID_00091	CDS			Transposase (or an inactivated derivative)
BDKBJLID_00091	gene			
BDKBJLID_00092	CDS			hypothetical protein
BDKBJLID_00092	gene			
BDKBJLID_00093	CDS			Transposase (or an inactivated derivative)
BDKBJLID_00093	gene			
BDKBJLID_00094	CDS			Transposase (or an inactivated derivative)
BDKBJLID_00094	gene			
BDKBJLID_00095	CDS			heptosyltransferase-2
BDKBJLID_00095	gene			
BDKBJLID_00096	CDS			putative group 1 glycosyltransferase
BDKBJLID_00096	gene			
BDKBJLID_00097	CDS			hypothetical protein
BDKBJLID_00097	gene			
BDKBJLID_00098	CDS		2.4.1.-	alpha-1,2-rhamnosyltransferase
BDKBJLID_00098	gene			
BDKBJLID_00099	CDS			ABC-type polysaccharide/polyol phosphate transport system, ATPase component
BDKBJLID_00099	gene			
BDKBJLID_00100	CDS	rfbD		ABC-type polysaccharide/polyol phosphate export system, permease component
BDKBJLID_00100	gene	rfbD		
BDKBJLID_00101	CDS			undecaprenyl-phosphate galactose phosphotransferase
BDKBJLID_00101	gene			
BDKBJLID_00102	CDS			Glycosyltransferase involved in cell wall bisynthesis
BDKBJLID_00102	gene			
BDKBJLID_00103	CDS			putative glycosyltransferase
BDKBJLID_00103	gene			
BDKBJLID_00104	CDS			hypothetical protein
BDKBJLID_00104	gene			
BDKBJLID_00105	CDS			putative transcriptional regulator (AbrB)
BDKBJLID_00105	gene			
