Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
Role of potassium in the internal positive membrane potential	LFTS_00452	kdpC	K+-transporting ATPase C chain	BDKBJLID_01328	K+-transporting ATPase, c chain	LFTS_00452	3.6.3.12~~~kdpC~~~K+-transporting ATPase ATPase C chain	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit acts as a catalytic chaperone that increases the ATP- binding affinity of the ATP-hydrolyzing subunit KdpB by the formation of a transient KdpB KdpC ATP ternary complex	kdpC	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043492,GO:0044425,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132	3.6.3.12	ko:K01548		P
	LFTS_00453	kdpA	K+-transporting ATPase A chain	BDKBJLID_01329	K+-transporting ATPase, A chain	LFTS_00453	3.6.3.12~~~kdpA~~~K+-transporting ATPase ATPase A chain	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit binds and transports the potassium across the cytoplasmic membrane	kdpA	GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030312,GO:0030955,GO:0031420,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043169,GO:0043492,GO:0044464,GO:0046872,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132	3.6.3.12	ko:K01546		P
	LFTS_00454	kdpB	K+-transporting ATPase B chain	BDKBJLID_01330	potassium-translocating P-type ATPase, B subunit	LFTS_00454	3.6.3.12~~~kdpB~~~K+-transporting ATPase ATPase B chain	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system	kdpB		3.6.3.12	ko:K01547	iSB619.SA_RS00495	P
	LFTS_00075	kdpD	Sensor protein gene	BDKBJLID_00926	putative periplasmic sensor signal transduction histidine kinase	LFTS_00075	~~~kdpD1~~~His Kinase A (phospho-acceptor) domain-containing protein	PhoQ Sensor						T
	LFTS_00459			BDKBJLID_01335	putative osmosensitive K+ channel signal transduction histidine kinase, sensor subunit (KdpD)	LFTS_00459	2.7.13.3~~~kdpD2~~~two-component system, OmpR family, sensor histidine kinase KdpD	PhoQ Sensor						T
	LFTS_02015	kch	Voltage-gated potassium channel	BDKBJLID_00312	voltage-gated potassium channel	LFTS_02015	~~~~~~voltage-gated potassium channel	(belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family)	kch	GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015318,GO:0015672,GO:0016020,GO:0016021,GO:0016043,GO:0022607,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0042802,GO:0043933,GO:0044085,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055085,GO:0065003,GO:0071804,GO:0071805,GO:0071840,GO:0071944,GO:0098655,GO:0098660,GO:0098662		ko:K10716	iEC042_1314.EC042_1304,iECUMN_1333.ECUMN_1549	P
	LFTS_02359	trkA	Voltage-gated potassium channel	BDKBJLID_00666	putative potassium channel protein, TrkA	LFTS_02359	~~~~~~voltage-gated potassium channel	TrkA-N domain	kch			ko:K05844,ko:K10716		P
	LFTS_00343		Ca2+-Na+/H+ antiporter	BDKBJLID_01212	putative Ca2+/Na+ antiporter	LFTS_00343	~~~~~~cation:H+ antiporter	Sodium/calcium exchanger protein				ko:K07301		P
	LFTS_01531	chaC	Cation transport protein
	LFTS_00392		Na+/H+ antiporter CPA family	BDKBJLID_01262	putative Na+/K+ antiporter	LFTS_00392	~~~~~~sodium/proton antiporter, CPA1 family	Sodium/hydrogen exchanger family				ko:K03316		P
