Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
Reductive TCA cycle carbon dioxide fixation	ROKKA_02486		Phosphoenolpyruvate carboxylase
	LFTS_00876	mdh2	Malate dehydrogenase (NAD)	BDKBJLID_01761	lipopolysaccharide export system protein	LFTS_00876	~~~~~~LPS export ABC transporter protein LptC
	LFTS_01556	fumC	Fumarase class II	BDKBJLID_02424	fumarate hydratase class II(FumC)	LFTS_01556	4.2.1.2~~~fumC~~~fumarase, class II	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate	fumC	GO:0003674,GO:0003824,GO:0004333,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006106,GO:0006108,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017144,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0045333,GO:0055114,GO:0071704,GO:0072350	1.1.1.38,4.2.1.2	ko:K00027,ko:K01679	iSB619.SA_RS09430	C
	LFTS_00585		Succinate dehydrogenase / fumarate reductase flavoprotein 
subunit	BDKBJLID_01463	fumarate reductase/succinate dehydrogenase flavoprotein-like protein	LFTS_00585	1.3.5.1~~~~~~succinate dehydrogenase / fumarate reductase flavoprotein subunit	FAD binding domain			1.3.5.1,1.3.5.4,1.4.3.16	ko:K00239,ko:K00244,ko:K00278		C
	LFTS_00579	sucD	Succinyl-CoA synthetase alpha subunit	BDKBJLID_01457	succinyl-CoA synthetase, alpha subunit	LFTS_00579	6.2.1.5~~~sucD1~~~succinyl-CoA synthetase alpha subunit	Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit			2.3.3.8,6.2.1.5	ko:K01902,ko:K15230,ko:K15233	iAF987.Gmet_0306	C
	LFTS_00587			BDKBJLID_01465	succinyl-CoA synthetase, alpha subunit	LFTS_00587	6.2.1.5~~~~~~succinyl-CoA synthetase alpha subunit	Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit	sucD	GO:0001539,GO:0003674,GO:0003824,GO:0004774,GO:0004776,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005829,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0008150,GO:0008152,GO:0009361,GO:0009987,GO:0016310,GO:0016874,GO:0016877,GO:0016878,GO:0019538,GO:0031974,GO:0032991,GO:0036211,GO:0040011,GO:0042709,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045239,GO:0046777,GO:0048870,GO:0051179,GO:0051674,GO:0070013,GO:0071704,GO:0071973,GO:0097588,GO:1901564,GO:1902494	6.2.1.5	ko:K01902,ko:K02381	iE2348C_1286.E2348C_0608,iYO844.BSU16100	C
	LFTS_00586	sucC	Succinyl-CoA synthetase beta subunit	BDKBJLID_01464	succinyl-CoA synthetase, beta subunit	LFTS_00586	6.2.1.5~~~sucC~~~succinyl-CoA synthetase beta subunit	Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit	sucC		6.2.1.5	ko:K01903		F
	LFTS_02458	forA2	pyruvate ferredoxin oxidoreductase alpha subunit	BDKBJLID_00766	pyruvate:ferredoxin oxidoreductase alpha subunit	LFTS_02458	1.2.7.1~~~forA2~~~pyruvate ferredoxin oxidoreductase alpha subunit	Pyruvate:ferredoxin oxidoreductase core domain II	forA		1.2.7.1	ko:K00169		C
	LFTS_02457	forB2	pyruvate ferredoxin oxidoreductase beta subunit	BDKBJLID_00765	Pyruvate synthase beta subunit/ Pyruvate ferredoxin oxidoreductase	LFTS_02457	1.2.7.1~~~forB2~~~pyruvate ferredoxin oxidoreductase beta subunit	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism	forB		1.2.7.1	ko:K00170		C
