Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
	LFTS_00588	ahpC	Peroxiredoxin (alkyl hydroperoxide reductase subunit C)	BDKBJLID_01466	putative thiol-specific antioxidant protein	LFTS_00588	1.11.1.15~~~~~~peroxiredoxin (alkyl hydroperoxide reductase subunit C)	AhpC/TSA family			1.11.1.15	ko:K03564		O
	LFTS_02121			BDKBJLID_00422	putative alkyl hydroperoxide reductase	LFTS_02121	1.11.1.15~~~~~~peroxiredoxin (alkyl hydroperoxide reductase subunit C)	C-terminal domain of 1-Cys peroxiredoxin	ahpC		1.11.1.15	ko:K03386,ko:K20011		O
	LFTS_02379	ccmG, dsbE	Peroxiredoxin	BDKBJLID_00687	Peroxiredoxin	LFTS_02379	~~~~~~Peroxiredoxin	cell redox homeostasis	resA		1.8.1.9	ko:K00384		CO
	LFTS_02380			BDKBJLID_00688	Peroxiredoxin	LFTS_02380	~~~~~~Peroxiredoxin	Thioredoxin-like	resA					CO
	LFTS_01366			BDKBJLID_02228	Thiol-disulfide isomerase or thioredoxin	LFTS_01366	~~~~~~Thiol-disulfide isomerase or thioredoxin	cell redox homeostasis						CO
	LFTS_00334	bcp	Thiol peroxiredoxin Q/BCP	BDKBJLID_01200	peroxiredoxin	LFTS_00334	1.11.1.15~~~bcp~~~peroxiredoxin Q/BCP	AhpC/TSA family	bcp	GO:0003674,GO:0003824,GO:0004601,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0008379,GO:0009636,GO:0009987,GO:0016209,GO:0016491,GO:0016684,GO:0019725,GO:0033554,GO:0034599,GO:0042221,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0045454,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0051920,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1990748	1.11.1.15	ko:K03564		O
	LFTS_00463			BDKBJLID_01340	putative peroxiredoxin	LFTS_00463	1.11.1.15~~~~~~peroxiredoxin Q/BCP	peroxiredoxin activity	bcp		1.11.1.15	ko:K03564		O
	LFTS_00141		Peroxiredoxin family protein	BDKBJLID_00992	Peroxiredoxin family protein	LFTS_00141	~~~~~~Peroxiredoxin family protein	Belongs to the sulfur carrier protein TusA family						P
	LFTS_00956			BDKBJLID_01841	recombinase	LFTS_00956	~~~~~~recombinase
	LFTS_00464	efeB	Putative iron-dependent peroxidase	BDKBJLID_01341	putative iron-dependent peroxidase	LFTS_00464	~~~~~~putative iron-dependent peroxidase	iron assimilation	dyp			ko:K07223		P
