Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	KEGG_KO	BiGG_reactions	COG_cat
Arsenic resistance	LFTS_00324 	arsR	As transcriptional repressor	BDKBJLID_01189	ArsR family transcriptional regulator	LFTS_00324	~~~~~~ArsR family transcriptional regulator	Transcriptional regulator  arsr family			K03892		K
	LFTS_00753  	arsB	As efflux membrane subunit	BDKBJLID_01634	ArsB,arsenical pump membrane protein	LFTS_00753	~~~arsB~~~arsenite efflux membrane protein ArsB (TC 3.A.4.1.1; TC 2.A.45.1.1)	arsenical pump membrane protein	ARSB		K03893		P
	LFTS_00754  	arsC	Arsenate reductase	BDKBJLID_01635	arsenate reductase (thioredoxin)	LFTS_00754	~~~~~~arsenate reductase (thioredoxin)	Protein tyrosine phosphatase	ARSC		K03741		T
Copper resistance	LFTS_02050		Copper-exporting P-type ATPase	BDKBJLID_00348	Cu+-exporting ATPase	LFTS_02050	3.6.3.54~~~~~~Cu+-exporting ATPase	YHS domain	PACS	GO:0000041 GO:0003674 GO:0005488 GO:0005507 GO:0005575 GO:0005623 GO:0005886 GO:0006810 GO:0006811 GO:0006812 GO:0006825 GO:0008150 GO:0009987 GO:0015677 GO:0016020 GO:0030001 GO:0034220 GO:0035434 GO:0043167 GO:0043169 GO:0044464 GO:0044699 GO:0044763 GO:0044765 GO:0046872 GO:0046914 GO:0051179 GO:0051234 GO:0055085 GO:0071944	K01533 K17686		P
	LFTS_00313			BDKBJLID_01177	copper translocating P-type ATPase	LFTS_00313	3.6.3.54~~~~~~Cu+-exporting ATPase	p-type ATPase	COPB	GO:0005575 GO:0005623 GO:0005886 GO:0016020 GO:0044464 GO:0071944	K01533 K17686	CU2abcpp	P
	LFTS_00752	copZ	Periplasmic copper-binding	BDKBJLID_01633	Copper chaperone CopZ	LFTS_00752	~~~~~~Copper chaperone CopZ						
	LFTS_00684	cutA	Cu(II) binding protein	BDKBJLID_01563	periplasmic divalent cation tolerance protein, chain A	LFTS_00684	~~~~~~divalent cation tolerance protein	tolerance protein	CUTA	GO:0003674 GO:0005488 GO:0005575 GO:0005622 GO:0005623 GO:0005737 GO:0006461 GO:0008150 GO:0010035 GO:0010038 GO:0016043 GO:0022607 GO:0042221 GO:0043167 GO:0043169 GO:0043933 GO:0044085 GO:0044424 GO:0044464 GO:0046688 GO:0046872 GO:0050896 GO:0051259 GO:0051260 GO:0065003 GO:0070271 GO:0071822 GO:0071840	K03926		P
Copper/silver resistance	LFTS_00919	cusA	Cu(I)/Ag(I) efflux system membrane protein	BDKBJLID_01804	membrane fusion protein, Cu(I)/Ag(I) efflux system	LFTS_00919	~~~~~~membrane fusion protein, Cu(I)/Ag(I) efflux system	Efflux transporter rnd family  mfp subunit	CUSB	GO:0000041 GO:0003674 GO:0005215 GO:0005375 GO:0005488 GO:0005507 GO:0006810 GO:0006811 GO:0006812 GO:0006825 GO:0006873 GO:0006875 GO:0006878 GO:0006950 GO:0008150 GO:0008324 GO:0009636 GO:0009987 GO:0010035 GO:0010038 GO:0010272 GO:0010273 GO:0015075 GO:0015679 GO:0019725 GO:0022857 GO:0022890 GO:0022891 GO:0022892 GO:0030001 GO:0030003 GO:0034220 GO:0035434 GO:0042221 GO:0042592 GO:0043167 GO:0043169 GO:0044699 GO:0044763 GO:0044765 GO:0046688 GO:0046872 GO:0046873 GO:0046914 GO:0046915 GO:0046916 GO:0048878 GO:0050801 GO:0050896 GO:0051179 GO:0051234 GO:0055065 GO:0055070 GO:0055076 GO:0055080 GO:0055082 GO:0055085 GO:0060003 GO:0065007 GO:0065008 GO:0097501 GO:1990169	K07798 K15727	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	P
	LFTS_00166	cusB	Cu(I)/Ag(I) membrane fusion protein	BDKBJLID_01022	secretion protein (HlyD)	LFTS_00166	~~~~~~membrane fusion protein, Cu(I)/Ag(I) efflux system	Efflux transporter rnd family  mfp subunit	CUSB	GO:0000041 GO:0003674 GO:0005215 GO:0005375 GO:0005488 GO:0005507 GO:0006810 GO:0006811 GO:0006812 GO:0006825 GO:0006873 GO:0006875 GO:0006878 GO:0006950 GO:0008150 GO:0008324 GO:0009636 GO:0009987 GO:0010035 GO:0010038 GO:0010272 GO:0010273 GO:0015075 GO:0015679 GO:0019725 GO:0022857 GO:0022890 GO:0022891 GO:0022892 GO:0030001 GO:0030003 GO:0034220 GO:0035434 GO:0042221 GO:0042592 GO:0043167 GO:0043169 GO:0044699 GO:0044763 GO:0044765 GO:0046688 GO:0046872 GO:0046873 GO:0046914 GO:0046915 GO:0046916 GO:0048878 GO:0050801 GO:0050896 GO:0051179 GO:0051234 GO:0055065 GO:0055070 GO:0055076 GO:0055080 GO:0055082 GO:0055085 GO:0060003 GO:0065007 GO:0065008 GO:0097501 GO:1990169	K07798 K15727	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	P
	LFTS_02435			BDKBJLID_00743	putative secretion protein HlyD	LFTS_02435	~~~cusB~~~membrane fusion protein, Cu(I)/Ag(I) efflux system	Efflux transporter rnd family  mfp subunit	CUSB	GO:0000041 GO:0003674 GO:0005215 GO:0005375 GO:0005488 GO:0005507 GO:0006810 GO:0006811 GO:0006812 GO:0006825 GO:0006873 GO:0006875 GO:0006878 GO:0006950 GO:0008150 GO:0008324 GO:0009636 GO:0009987 GO:0010035 GO:0010038 GO:0010272 GO:0010273 GO:0015075 GO:0015679 GO:0019725 GO:0022857 GO:0022890 GO:0022891 GO:0022892 GO:0030001 GO:0030003 GO:0034220 GO:0035434 GO:0042221 GO:0042592 GO:0043167 GO:0043169 GO:0044699 GO:0044763 GO:0044765 GO:0046688 GO:0046872 GO:0046873 GO:0046914 GO:0046915 GO:0046916 GO:0048878 GO:0050801 GO:0050896 GO:0051179 GO:0051234 GO:0055065 GO:0055070 GO:0055076 GO:0055080 GO:0055082 GO:0055085 GO:0060003 GO:0065007 GO:0065008 GO:0097501 GO:1990169	K07798 K15727	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	P
