Subsystem	Locus Tag	Gene	Predicted Function
	LFTS_00588	ahpC	Peroxiredoxin (alkyl hydroperoxide reductase subunit C)
	LFTS_02121		
	LFTS_02379	ccmG, dsbE	Peroxiredoxin
	LFTS_02380		
	LFTS_01366		
	LFTS_00334	bcp	Thiol peroxiredoxin Q/BCP
	LFTS_00463		
	LFTS_00141		Peroxiredoxin family protein
	LFTS_00956		
	LFTS_00464	efeB	Putative iron-dependent peroxidase
	LFTS_02122		Cytochrome c peroxidase
	LFTS_02123	perR	"Fur family transcriptional regulator peroxide stress response 
regulator"
	LFTS_00101		
	LFTS_00834		
	LFTS_00361		Rubrerythrin
	LFTS_01356	gpmM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
	LFTS_00965	icd	"isocitrate dehydrogenase (NAD) 
Putative isocitrate dehydrogenase (NADP)"
	LFTS_00966		
	LFTS_00293	degP	Serine protease Do
	LFTS_00852	trx	"Thioredoxin 1 
Thioredoxin 2"
	LFTS_00318		
	LFTS_02417	trxB	Thioredoxin reductase (NADPH)
	LFTS_00473		Glutaredoxin
	LFTS_00823		
	LFTS_01556	fumC	Fumarase C
	LFTS_00831		Thiol-disulfide isomerase or thioredoxin
	LFTS_00175		
	LFTS_01366		
	LFTS_02519		
	LFTS_01154		Thioredoxin domain-containing protein
	LFTS_01773		putative peroxiredoxin
	LFTS_00737	ybbN	ybbN; DnaK co-chaperone, thioredoxin-like protein
	LFTS_00348		L-ectoine synthase
	LFTS_00759		High-affinity iron transporter
	LFTS_00856		Spermidine synthase
	LFTS_00857		S-adenosylmethionine decarboxylase
	LFTS_00955 		Cobalamin -5' -phosphate synthase
	LFTS_01989 		Glutathionylspermidine synthase preATP -grasp
