Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	KEGG_KO	BiGG_reactions	COG_cat
Chemotaxis	LFTS_00183		methyl-accepting chemotaxis protein	BDKBJLID_01039	methyl-accepting chemotaxis protein	LFTS_00183	~~~~~~methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis	VPA0199		K03406 K03776		T
	LFTS_00227		methyl-accepting chemotaxis protein	BDKBJLID_01085	putative methyl-accepting chemotaxis protein	LFTS_00227	~~~~~~methyl-accepting chemotaxis protein	methyl-accepting chemotaxis	TLPA	GO:0003674 GO:0004871 GO:0004872 GO:0006935 GO:0007154 GO:0007165 GO:0008150 GO:0009605 GO:0009987 GO:0023052 GO:0040011 GO:0042221 GO:0042330 GO:0044699 GO:0044700 GO:0044763 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0060089 GO:0065007	K02660 K03406 K05875		T
	LFTS_01445		methyl-accepting chemotaxis protein	BDKBJLID_02310	methyl-accepting chemotaxis sensory transducer	LFTS_01445	~~~~~~Methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis			K03406		S
	LFTS_01455		methyl-accepting chemotaxis protein	BDKBJLID_02320	putative methyl-accepting chemotaxis sensory transducer	LFTS_01455	~~~~~~methyl-accepting chemotaxis protein						
	LFTS_01548		methyl-accepting chemotaxis protein	BDKBJLID_02416	putative methyl-accepting chemotaxis sensory transducer	LFTS_01548	~~~~~~methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis sensory transducer	ABU_0633		K03406 K03776 K05875		S
	LFTS_01731		methyl-accepting chemotaxis protein	BDKBJLID_00016	methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor	LFTS_01731	~~~~~~methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis		GO:0003674 GO:0004871 GO:0004872 GO:0006935 GO:0007154 GO:0007165 GO:0008150 GO:0009605 GO:0009987 GO:0023052 GO:0040011 GO:0042221 GO:0042330 GO:0044699 GO:0044700 GO:0044763 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0060089 GO:0065007	K03406		T
	LFTS_02147		methyl-accepting chemotaxis protein	BDKBJLID_00448	methyl-accepting chemotaxis protein	LFTS_02147	~~~~~~methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis sensory transducer	ABU_0633		K03406 K03776 K05875		S
	LFTS_00223	cheR	chemotaxis protein methyltransferase	BDKBJLID_01081	chemotaxis protein methyltransferase CheR	LFTS_00223	2.1.1.80~~~~~~chemotaxis protein methyltransferase CheR	Methyltransferase	WSPC		K00575 K13486		N  T
	LFTS_00224	cheY3	"two-component systemchemotaxis familyresponse 
regulator"	BDKBJLID_01082	putative chemotaxis regulator protein CheY	LFTS_00224	~~~cheY3~~~two-component system, chemotaxis family, response regulator CheY	response regulator receiver protein	CHEY	GO:0000160 GO:0000287 GO:0003674 GO:0004871 GO:0005488 GO:0005575 GO:0005622 GO:0005623 GO:0005737 GO:0006464 GO:0006473 GO:0006935 GO:0007154 GO:0007165 GO:0008150 GO:0008152 GO:0009605 GO:0009987 GO:0019538 GO:0023052 GO:0036211 GO:0040011 GO:0042221 GO:0042330 GO:0043167 GO:0043169 GO:0043170 GO:0043412 GO:0043543 GO:0044237 GO:0044238 GO:0044260 GO:0044267 GO:0044424 GO:0044464 GO:0044699 GO:0044700 GO:0044763 GO:0046872 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0060089 GO:0065007 GO:0071704	K03413		T
	LFTS_00225	cheA	two-component systemchemotaxis familysensor kinase	BDKBJLID_01083	putative chemotaxis protein histidine kinase CheA	LFTS_00225	2.7.13.3~~~cheA~~~two-component system, chemotaxis family, sensor kinase CheA	CheA signal transduction histidine kinase	CHEA	GO:0003674 GO:0003824 GO:0004871 GO:0006793 GO:0006796 GO:0006935 GO:0007154 GO:0007165 GO:0008150 GO:0008152 GO:0009605 GO:0009987 GO:0016301 GO:0016310 GO:0016740 GO:0016772 GO:0023052 GO:0040011 GO:0042221 GO:0042330 GO:0044237 GO:0044699 GO:0044700 GO:0044763 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0060089 GO:0065007	K03407		T
	LFTS_00226	cheB	"two-component systemchemotaxis familyresponse 
regulator"	BDKBJLID_01084	putative chemotaxis regulator CheB	LFTS_00226	3.1.1.61~~~~~~two-component system, chemotaxis family, response regulator CheB	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity)	CHEB	GO:0005575 GO:0005622 GO:0005623 GO:0005737 GO:0044424 GO:0044464	K03412		T
	LFTS_00228	cheW	purine-binding chemotaxis protein	BDKBJLID_01086	putative chemotaxis protein CheW	LFTS_00228	~~~~~~purine-binding chemotaxis protein CheW	chew protein	CHEW1		K03408		N  T
	LFTS_00229	motA	chemotaxis protein	BDKBJLID_01087	putative flagellar motor component MotA	LFTS_00229	~~~~~~chemotaxis protein MotA	MotA TolQ exbB proton channel	MOTA	GO:0001539 GO:0003674 GO:0003774 GO:0003824 GO:0005575 GO:0005623 GO:0005886 GO:0006810 GO:0006928 GO:0006935 GO:0008150 GO:0008152 GO:0009605 GO:0009987 GO:0016020 GO:0016462 GO:0016787 GO:0016817 GO:0016818 GO:0017111 GO:0040011 GO:0042221 GO:0042330 GO:0044464 GO:0044699 GO:0044763 GO:0048870 GO:0050896 GO:0051179 GO:0051234 GO:0051674 GO:0071944	K02556		N
	LFTS_00230	motB1	chemotaxis protein	BDKBJLID_01088	putative flagellar motor protein OmpA/MotB	LFTS_00230	~~~motB1~~~chemotaxis protein MotB	ompa motb domain protein	MOTB	GO:0001539 GO:0003674 GO:0003774 GO:0003824 GO:0006928 GO:0006935 GO:0008150 GO:0008152 GO:0009605 GO:0009987 GO:0016462 GO:0016787 GO:0016817 GO:0016818 GO:0017111 GO:0040011 GO:0042221 GO:0042330 GO:0044699 GO:0044763 GO:0048870 GO:0050896 GO:0051179 GO:0051674	K02557		N
	LFTS_00710	cheZ	chemotaxis protein	BDKBJLID_01590	chemotaxis protein CheZ	LFTS_00710	~~~~~~chemotaxis protein CheZ						
