Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
BDKBJLID_00001	protoporphyrinogen oxidase	LFTS_01719	1.3.3.4~~~hemG~~~oxygen-dependent protoporphyrinogen oxidase
BDKBJLID_00002	protoporphyrinogen oxidase	LFTS_01719	1.3.3.4~~~hemG~~~oxygen-dependent protoporphyrinogen oxidase	Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX	hemG		1.14.19.9,1.3.3.15,1.3.3.4	ko:K00231,ko:K14266	iSB619.SA_RS09325	H
BDKBJLID_00003	hypothetical protein	LFTS_01720	~~~~~~hypothetical protein
BDKBJLID_00004	EamA-like transporter family protein	LFTS_01721	~~~~~~EamA-like transporter family protein	spore germination						EG
BDKBJLID_00005	chloride channel protein EriC	LFTS_01722	~~~~~~chloride channel protein, CIC family	chloride channel				ko:K03281		P
BDKBJLID_00006	chloride channel protein EriC	LFTS_01722	~~~~~~chloride channel protein, CIC family	chloride channel				ko:K03281		P
BDKBJLID_00007
BDKBJLID_00008	Site-specific recombinase XerD	LFTS_01724	~~~~~~Site-specific recombinase XerD	Belongs to the 'phage' integrase family	rci					L
BDKBJLID_00009	Phage integrase family protein	LFTS_01725	~~~~~~Phage integrase family protein	Belongs to the 'phage' integrase family						L
BDKBJLID_00010	hypothetical protein	LFTS_01726	~~~~~~hypothetical protein
BDKBJLID_00011	hypothetical protein	LFTS_01727	~~~~~~hypothetical protein
BDKBJLID_00012	putative phage-associated protein	LFTS_01728	~~~~~~putative phage-associated protein	Protein of unknown function (DUF4065)	gepA					S
BDKBJLID_00013	ribonuclease	LFTS_01729	~~~~~~ribonuclease							
BDKBJLID_00014	toxin-antitoxin system PIN domain toxin	LFTS_01730	~~~vapC~~~toxin-antitoxin system PIN domain toxin	PIN domain	vapC	GO:0005575,GO:0005576		ko:K07064		S
BDKBJLID_00015	hypothetical protein
BDKBJLID_00016	methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor	LFTS_01731	~~~~~~methyl-accepting chemotaxis protein	chemotaxis, protein				ko:K03406		NT
BDKBJLID_00017	hypothetical protein	LFTS_01732	~~~~~~hypothetical protein
BDKBJLID_00018	hypothetical protein	LFTS_01733	~~~~~~hypothetical protein
BDKBJLID_00019	Cache domain-containing protein	LFTS_01734	~~~~~~Cache domain-containing protein	diguanylate cyclase activity						T
BDKBJLID_00020	hypothetical protein	LFTS_01735	~~~~~~hypothetical protein
BDKBJLID_00021	aldo/keto reductase	LFTS_01736	~~~~~~putative oxidoreductase	oxidoreductases (related to aryl-alcohol dehydrogenases)	iolS_2					C
BDKBJLID_00022	DNA-3-methyladenine glycosylase II	LFTS_01737	3.2.2.21~~~~~~DNA-3-methyladenine glycosylase II	AlkA N-terminal domain	alkA	GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003824,GO:0003905,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006285,GO:0006304,GO:0006307,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008725,GO:0009987,GO:0016020,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0030312,GO:0032131,GO:0032991,GO:0032993,GO:0033554,GO:0034641,GO:0035510,GO:0043170,GO:0043412,GO:0043733,GO:0043916,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051409,GO:0051716,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:0140097,GO:1901360,GO:1901363	2.1.1.63,3.2.2.21	ko:K00567,ko:K01247,ko:K13529,ko:K15051		K
BDKBJLID_00023	methylated DNA-protein cysteine methyltransferase	LFTS_01738	2.1.1.63~~~~~~methylated-DNA-[protein]-cysteine S-methyltransferase	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated	ogt	GO:0003674,GO:0003824,GO:0003908,GO:0006139,GO:0006259,GO:0006281,GO:0006304,GO:0006307,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0009987,GO:0016740,GO:0016741,GO:0032259,GO:0033554,GO:0034641,GO:0035510,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360	2.1.1.63	ko:K00567		L
BDKBJLID_00024	Putative MetA-pathway of phenol degradation	LFTS_01739	~~~~~~Putative MetA-pathway of phenol degradation							
BDKBJLID_00025	Tetratricopeptide repeat-containing protein	LFTS_01740	~~~~~~Tetratricopeptide repeat-containing protein	photosynthesis	pilF			ko:K02656		NU
BDKBJLID_00026	hypothetical protein	LFTS_01741	~~~~~~hypothetical protein	Protein of unknown function (DUF1232)						S
BDKBJLID_00027	hypothetical protein	LFTS_01742	~~~~~~hypothetical protein
BDKBJLID_00028	DNA-3-methyladenine glycosylase	LFTS_01743	3.2.2.21~~~~~~DNA-3-methyladenine glycosylase	Belongs to the DNA glycosylase MPG family	mpg	GO:0003674,GO:0003824,GO:0003905,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0140097,GO:1901360	3.2.2.21	ko:K03652		L
BDKBJLID_00029	putative proteasome-type protease	LFTS_01744	~~~~~~putative proteasome-type protease		MA20_32445			ko:K07395		
BDKBJLID_00030	hypothetical protein	LFTS_01745	~~~~~~hypothetical protein	A predicted alpha-helical domain with a conserved ER motif.	MA20_32425					S
BDKBJLID_00031	hypothetical protein	LFTS_01746	~~~~~~hypothetical protein	Circularly permuted ATP-grasp type 2	gcs2					S
BDKBJLID_00032	hypothetical protein	LFTS_01746	~~~~~~hypothetical protein	Circularly permuted ATP-grasp type 2	gcs2					S
BDKBJLID_00033	Polyisoprenoid-binding protein YceI	LFTS_01747	~~~~~~Polyisoprenoid-binding protein YceI	Belongs to the UPF0312 family	yceI					S
BDKBJLID_00034	hypothetical protein	LFTS_01748	~~~~~~hypothetical protein
BDKBJLID_00035	plasmid maintenance system antidote protein, XRE family	LFTS_01749	~~~~~~addiction module antidote protein, HigA family	Helix-turn-helix XRE-family like proteins	vapL			ko:K21498		K
BDKBJLID_00036	NADH dehydrogenase (Quinone)	LFTS_01750	~~~~~~Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	Proton-conducting membrane transporter	hyfB					CP
BDKBJLID_00037	formate hydrogenlyase subunit 4	LFTS_01751	~~~~~~Formate hydrogenlyase subunit 4	NADH dehydrogenase	hycD					C
BDKBJLID_00038	hydrogenase 4 membrane component	LFTS_01752	~~~hyfE~~~hydrogenase-4 component E	Hydrogenase 4 membrane	hyfE	GO:0008150,GO:0040007		ko:K12140		C
BDKBJLID_00039	NADH dehydrogenase (Quinone)	LFTS_01753	~~~~~~hydrogenase-4 component F	Formate hydrogenlyase subunit 3 Multisubunit Na H antiporter, MnhD subunit	hyfF			ko:K12141		CP
BDKBJLID_00040	putative NADH-ubiquinone oxidoreductase, 49 kDa subunit	LFTS_01754	~~~~~~Ni,Fe-hydrogenase III large subunit	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	hycE			ko:K14089		C
BDKBJLID_00041	putative NADH ubiquinone oxidoreductase, 20 kDa subunit	LFTS_01755	~~~~~~Ni,Fe-hydrogenase III small subunit	NADH ubiquinone oxidoreductase, 20 Kd subunit						C
BDKBJLID_00042	hypothetical protein	LFTS_01756	~~~~~~hypothetical protein							
BDKBJLID_00043	putative cyclic nucleotide-binding protein	LFTS_01757	~~~~~~cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	cyclic nucleotide binding	nnrR			ko:K01420,ko:K21564		T
BDKBJLID_00044	putative ATP-dependent DNA helicase MPH1	LFTS_01758	~~~~~~putative ATP-dependent DNA helicase MPH1
BDKBJLID_00045	hypothetical protein
BDKBJLID_00046	hypothetical protein	LFTS_01759	~~~~~~hypothetical protein
BDKBJLID_00047	hypothetical protein	LFTS_01760	~~~~~~hypothetical protein	Protein conserved in bacteria						K
BDKBJLID_00048	prevent-host-death protein	LFTS_01761	~~~~~~prevent-host-death family protein	positive regulation of growth						D
BDKBJLID_00049	PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)	LFTS_01762	~~~~~~PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)	ribonuclease activity		GO:0005575,GO:0005576,GO:0006417,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0017148,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0034248,GO:0034249,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0060255,GO:0065007,GO:0080090,GO:2000112,GO:2000113				S
BDKBJLID_00050	Putative restriction endonuclease	LFTS_01763	~~~~~~Putative restriction endonuclease	protein conserved in cyanobacteria						D
BDKBJLID_00051	Putative restriction endonuclease	LFTS_01764	~~~~~~Putative restriction endonuclease	protein conserved in cyanobacteria						D
BDKBJLID_00052	plasmid stability protein	LFTS_01765	~~~~~~Plasmid stability protein	Plasmid stability protein	stbC			ko:K21495		S
BDKBJLID_00053	putative nucleic acid-binding protein, contains PIN domain	LFTS_01766	3.1.-.-~~~fitB~~~Toxin FitB	Toxic component of a toxin-antitoxin (TA) module. An RNase	vapC			ko:K07062		S
BDKBJLID_00054	hypothetical protein	LFTS_01767	~~~~~~hypothetical protein
BDKBJLID_00055	Endonuclease, Uma2 family (restriction endonuclease fold)	LFTS_01768	~~~~~~Endonuclease, Uma2 family (restriction endonuclease fold)	protein conserved in cyanobacteria						D
BDKBJLID_00056	hypothetical protein	LFTS_01769	~~~~~~hypothetical protein
BDKBJLID_00057	response regulator/putative metal-dependent phosphohydrolase	LFTS_01770	~~~~~~HDIG domain-containing protein	response regulator, receiver						T
BDKBJLID_00058	hypothetical protein	LFTS_01771	~~~~~~hypothetical protein
BDKBJLID_00059	putative transcriptional regulator, TetR family	LFTS_01772	~~~~~~transcriptional regulator, TetR family	transcriptional regulator				ko:K16137		K
BDKBJLID_00060	DsrE/DsrF-like family protein	LFTS_01773	~~~~~~DsrE/DsrF-like family protein					ko:K06039,ko:K07092		
BDKBJLID_00061	hypothetical protein	LFTS_01774	~~~~~~extracellular solute-binding protein	Sulfate ABC transporter periplasmic sulfate-binding protein						P
BDKBJLID_00062	hypothetical protein	LFTS_01775	~~~~~~hypothetical protein
BDKBJLID_00063	radical SAM domain-containing protein	LFTS_01776	~~~~~~hypothetical protein	radical SAM domain protein						C
BDKBJLID_00064	GHMP kinase	LFTS_01777	2.7.1.168~~~~~~D-glycero-alpha-D-manno-heptose-7-phosphate kinase	GHMP kinases N terminal domain	lmbP		2.7.1.168	ko:K07031		S
BDKBJLID_00065	NAD-dependent epimerase/dehydratase	LFTS_01778	1.1.1.271~~~fcl~~~GDP-L-fucose synthase	Catalyzes the two-step NADP-dependent conversion of GDP- 4-dehydro-6-deoxy-D-mannose to GDP-fucose, involving an epimerase and a reductase reaction	fcl		1.1.1.271	ko:K02377		GM
BDKBJLID_00066	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha	LFTS_01779	1.2.4.1~~~~~~pyruvate dehydrogenase E1 component alpha subunit	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)	acoA		1.2.4.1	ko:K00161,ko:K21416		C
BDKBJLID_00067	transketolase-like protein	LFTS_01780	1.2.4.1~~~~~~pyruvate dehydrogenase E1 component beta subunit	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	acoB		1.2.4.1	ko:K00162,ko:K21417		C
BDKBJLID_00068	putative pyridoxal phosphate-dependent enzyme	LFTS_01781	~~~~~~CDP-6-deoxy-D-xylo-4-hexulose-3-dehydrase	DegT/DnrJ/EryC1/StrS aminotransferase family			1.17.1.1	ko:K12452		E
BDKBJLID_00069	D-glycero-D-manno-heptose 1-phosphate guanosyltransferase	LFTS_01782	2.7.7.71~~~~~~D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase	Nucleotidyl transferase			2.7.7.13,2.7.7.71,3.1.3.82,3.1.3.83	ko:K00966,ko:K03273,ko:K15669		JM
BDKBJLID_00070	NAD-dependent epimerase/dehydratase	LFTS_01783	~~~~~~Nucleoside-diphosphate-sugar epimerase	Polysaccharide biosynthesis protein						M
BDKBJLID_00071	hypothetical protein	LFTS_01784	~~~~~~hypothetical protein
BDKBJLID_00072	Transposase	LFTS_01785	~~~~~~Transposase	Integrase core domain				ko:K07483,ko:K07497		L
BDKBJLID_00073	putative transposase	LFTS_01786	~~~~~~putative transposase	Integrase core domain				ko:K07497		L
BDKBJLID_00074	hypothetical protein	LFTS_01787	~~~~~~hypothetical protein
BDKBJLID_00075	Transposase	LFTS_01788	~~~~~~Transposase	Transposase and inactivated derivatives						L
BDKBJLID_00076	DNA replication protein DnaC	LFTS_01789	~~~~~~DNA replication protein DnaC	IstB-like ATP binding protein	istB3			ko:K02315		L
BDKBJLID_00077	hypothetical protein	LFTS_01790	~~~~~~hypothetical protein
BDKBJLID_00078	IstB-like ATP binding protein	LFTS_01791	~~~~~~IstB-like ATP binding protein	IstB-like ATP binding protein	istB3			ko:K02315		L
BDKBJLID_00079	putative IstB-like ATP-binding protein	LFTS_01792	~~~~~~hypothetical protein	ISPsy14, transposition helper protein				ko:K02315		L
BDKBJLID_00080	Transposase	LFTS_01793	~~~~~~Transposase	PFAM Integrase, catalytic region			2.7.1.83	ko:K16328		L
BDKBJLID_00081	Transposase (or an inactivated derivative)	LFTS_01794	~~~~~~Transposase (or an inactivated derivative)	PFAM transposase mutator type						L
BDKBJLID_00082	Transposase (or an inactivated derivative)	LFTS_01795	~~~~~~Transposase (or an inactivated derivative)	transposase activity						L
BDKBJLID_00083	Nucleotidyl transferase AbiEii toxin, Type IV TA system	LFTS_01796	~~~~~~hypothetical protein
BDKBJLID_00084	Transposase	LFTS_01797	~~~~~~Transposase	Transposase				ko:K07483,ko:K07497		L
BDKBJLID_00085	putative transposase	LFTS_01798	~~~~~~putative transposase	PFAM Integrase catalytic region				ko:K07497		L
BDKBJLID_00086	hypothetical protein	LFTS_01799	~~~~~~hypothetical protein
BDKBJLID_00087	Transposase (or an inactivated derivative)	LFTS_01800	~~~~~~Transposase (or an inactivated derivative)	transposase activity						L
BDKBJLID_00088	Transposase	LFTS_01801	~~~~~~Transposase	Integrase core domain						L
BDKBJLID_00089	DNA replication protein DnaC	LFTS_01802	~~~~~~DNA replication protein DnaC	IstB domain protein ATP-binding protein	istB					L
BDKBJLID_00090	DNA replication protein DnaC	LFTS_01803	~~~~~~DNA replication protein DnaC	Evidence 2b Function of strongly homologous gene						L
BDKBJLID_00091	Transposase (or an inactivated derivative)	LFTS_01804	~~~~~~Transposase (or an inactivated derivative)	transposase activity						L
BDKBJLID_00092	hypothetical protein	LFTS_01805	~~~~~~hypothetical protein	Glycosyl transferase, family 2						V
BDKBJLID_00093	Transposase (or an inactivated derivative)	LFTS_01806	~~~~~~Transposase (or an inactivated derivative)	transposase activity						L
BDKBJLID_00094	Transposase (or an inactivated derivative)	LFTS_01807	~~~~~~Transposase (or an inactivated derivative)	transposase activity						L
BDKBJLID_00095	heptosyltransferase-2	LFTS_01808	~~~~~~heptosyltransferase-2	ADP-heptose-lipopolysaccharide heptosyltransferase activity	rfaF		2.4.99.12,2.4.99.13,2.4.99.14,2.4.99.15	ko:K02527,ko:K02841,ko:K02843,ko:K12982		M
BDKBJLID_00096	putative group 1 glycosyltransferase	LFTS_01809	~~~~~~Glycosyltransferase involved in cell wall bisynthesis	Glycosyl transferases group 1						M
BDKBJLID_00097	hypothetical protein	LFTS_01810	~~~~~~hypothetical protein
BDKBJLID_00098	alpha-1,2-rhamnosyltransferase	LFTS_01811	2.4.1.-~~~~~~alpha-1,2-rhamnosyltransferase	Glycosyl transferases group 1	wbpX			ko:K12993		M
BDKBJLID_00099	ABC-type polysaccharide/polyol phosphate transport system, ATPase component	LFTS_01812	~~~~~~lipopolysaccharide transport system ATP-binding protein	Evidence 2b Function of strongly homologous gene	rfbE		3.6.3.38	ko:K01990,ko:K09689,ko:K09691		GM
BDKBJLID_00100	ABC-type polysaccharide/polyol phosphate export system, permease component	LFTS_01813	~~~rfbD~~~ABC-2 type transport system permease protein	ABC-2 type transporter	rfbD			ko:K01992,ko:K09690		U
BDKBJLID_00101	undecaprenyl-phosphate galactose phosphotransferase	LFTS_01814	2.7.8.6~~~~~~undecaprenyl-phosphate galactose phosphotransferase	undecaprenyl-phosphate glucose phosphotransferase activity	wbaP	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0008150,GO:0008152,GO:0016020,GO:0016740,GO:0016772,GO:0016780,GO:0043170,GO:0044238,GO:0044464,GO:0071704,GO:0071944	2.7.8.6	ko:K00996,ko:K16566,ko:K16707		M
BDKBJLID_00102	Glycosyltransferase involved in cell wall bisynthesis	LFTS_01815	~~~~~~Glycosyltransferase involved in cell wall bisynthesis	Glycosyl transferases group 1	wcnD					M
BDKBJLID_00103	putative glycosyltransferase	LFTS_01816	~~~~~~Glycosyltransferase involved in cell wall bisynthesis	PFAM Glycosyl transferases group 1						M
BDKBJLID_00104	hypothetical protein	LFTS_01817	~~~~~~hypothetical protein
BDKBJLID_00105	putative transcriptional regulator (AbrB)	LFTS_01818	~~~~~~putative transcriptional regulator (AbrB)	SpoVT / AbrB like domain						K
BDKBJLID_00106	putative PilT-like protein	LFTS_01819	~~~~~~PIN domain-containing protein	PIN domain						S
BDKBJLID_00107	hypothetical protein	LFTS_01820	~~~~~~hypothetical protein
BDKBJLID_00108	NADH ubiquinone oxidoreductase subunit 5 chain L	LFTS_01821	1.6.5.3~~~~~~NAD(P)H-quinone oxidoreductase subunit 5	NADH-quinone oxidoreductase			1.6.5.3	ko:K00341,ko:K05577,ko:K09822		CP
BDKBJLID_00109	hypothetical protein	LFTS_01822	~~~~~~hypothetical protein	Belongs to the UPF0753 family				ko:K09822		S
BDKBJLID_00110	hypothetical protein	LFTS_01823	~~~~~~hypothetical protein							
BDKBJLID_00111	dihydroxyacid dehydratase/phosphogluconate dehydratase	LFTS_01824	4.2.1.9~~~ilvD-1_2~~~dihydroxyacid dehydratase	Belongs to the IlvD Edd family	ilvD	GO:0003674,GO:0003824,GO:0004160,GO:0016829,GO:0016835,GO:0016836	4.2.1.9	ko:K01687		H
BDKBJLID_00112	Sua5/YciO/YrdC/YwlC family protein	LFTS_01825	2.7.7.87~~~~~~translation factor SUA5	Telomere recombination	sua5	GO:0000049,GO:0000166,GO:0002949,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006450,GO:0006725,GO:0006807,GO:0008033,GO:0008144,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034470,GO:0034641,GO:0034660,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0065007,GO:0065008,GO:0070525,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363	2.7.7.87	ko:K07566		J
BDKBJLID_00113	dihydroxyacid dehydratase	LFTS_01826	4.2.1.9~~~ilvD_3~~~dihydroxy-acid dehydratase	Dehydratase family	ilvD		4.2.1.9	ko:K01687,ko:K16786	iAF987.Gmet_1259	EG
BDKBJLID_00114	hypothetical protein	LFTS_01827	~~~~~~hypothetical protein
BDKBJLID_00115	NADH ubiquinone oxidoreductase subunit 5	LFTS_01828	1.6.5.3~~~~~~NAD(P)H-quinone oxidoreductase subunit 5	NADH-quinone oxidoreductase			1.6.5.3	ko:K00341,ko:K05577,ko:K09822		CP
BDKBJLID_00116	NADH ubiquinone oxidoreductase subunit 5	LFTS_01828	1.6.5.3~~~~~~NAD(P)H-quinone oxidoreductase subunit 5	NADH-quinone oxidoreductase			1.6.5.3	ko:K00341,ko:K05577,ko:K09822		CP
BDKBJLID_00117	hypothetical protein	LFTS_01829	~~~~~~hypothetical protein	Belongs to the UPF0753 family				ko:K09822		S
BDKBJLID_00118	PAS domain S-box-containing protein	LFTS_01830	~~~~~~PAS domain S-box-containing protein	GAF domain			2.1.1.80,2.7.13.3,3.1.1.61	ko:K02003,ko:K02484,ko:K07708,ko:K13924,ko:K14986		T
BDKBJLID_00119	PAS domain S-box-containing protein	LFTS_01830	~~~~~~PAS domain S-box-containing protein	GAF domain			2.1.1.80,2.7.13.3,3.1.1.61	ko:K02003,ko:K02484,ko:K07708,ko:K13924,ko:K14986		T
BDKBJLID_00120	PAS domain S-box-containing protein	LFTS_01830	~~~~~~PAS domain S-box-containing protein	GAF domain			2.1.1.80,2.7.13.3,3.1.1.61	ko:K02003,ko:K02484,ko:K07708,ko:K13924,ko:K14986		T
BDKBJLID_00121	putative two component, sigma54 specific, transcriptional regulator, Fis family	LFTS_01831	~~~~~~two-component system, NtrC family, response regulator AtoC	Bacterial regulatory protein, Fis family				ko:K07714		T
BDKBJLID_00122	hypothetical protein	LFTS_01832	~~~~~~hypothetical protein
BDKBJLID_00123	hypothetical protein	LFTS_01833	~~~~~~hypothetical protein
BDKBJLID_00124	hypothetical protein	LFTS_01834	~~~~~~hypothetical protein							
BDKBJLID_00125	putative hydrolase	LFTS_01835	~~~~~~Pimeloyl-ACP methyl ester carboxylesterase	hydrolases or acyltransferases alpha beta hydrolase superfamily		GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006766,GO:0006767,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009111,GO:0009987,GO:0016787,GO:0016810,GO:0016811,GO:0017144,GO:0034641,GO:0042365,GO:0042737,GO:0042802,GO:0042803,GO:0042816,GO:0042820,GO:0044237,GO:0044248,GO:0044270,GO:0044281,GO:0044282,GO:0046483,GO:0046700,GO:0046983,GO:0047411,GO:0071704,GO:0072524,GO:0072526,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575	3.5.1.29	ko:K18614		S
BDKBJLID_00126	3-hydroxyisobutyrate dehydrogenase	LFTS_01836	1.1.1.31~~~~~~3-hydroxyisobutyrate dehydrogenase	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase			1.1.1.31	ko:K00020		C
BDKBJLID_00127	DinB family protein	LFTS_01837	~~~~~~DinB family protein	DinB family						S
BDKBJLID_00128	putative carboxymuconolactone decarboxylase	LFTS_01838	4.1.1.44~~~~~~4-carboxymuconolactone decarboxylase	peroxiredoxin activity	MA20_32440		4.1.1.44	ko:K01607		S
BDKBJLID_00129	membrane protease subunit	LFTS_01839	~~~~~~Regulator of protease activity HflC, stomatin/prohibitin superfamily	prohibitin homologues	qmcA					O
BDKBJLID_00130	putative nodulation efficiency protein D	LFTS_01840	~~~~~~membrane-bound serine protease (ClpP class)	NfeD-like C-terminal, partner-binding	nfeD			ko:K07403		O
BDKBJLID_00131	Tetratricopeptide repeat-containing protein	LFTS_01841	~~~~~~Tetratricopeptide repeat-containing protein	chaperone-mediated protein folding						L
BDKBJLID_00132	Chromosome partition protein Smc	LFTS_01842	~~~~~~hypothetical protein
BDKBJLID_00133	hypothetical protein	LFTS_01843	~~~~~~hypothetical protein
BDKBJLID_00134	Tetratricopeptide repeat protein	LFTS_01844	~~~~~~Tetratricopeptide repeat protein
BDKBJLID_00135	diguanylate cyclase (GGDEF) domain-containing protein	LFTS_01845	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	phosphoserine phosphatase activity						T
BDKBJLID_00136	PAS fold-containing protein	LFTS_01846	~~~~~~PAS fold-containing protein	PhoQ Sensor						T
BDKBJLID_00137	hypothetical protein	LFTS_01847	~~~~~~hypothetical protein
BDKBJLID_00138	homoserine dehydrogenase	LFTS_01848	~~~~~~homoserine dehydrogenase	homoserine dehydrogenase activity	hom		1.1.1.3	ko:K00003	iSB619.SA_RS06610	E
BDKBJLID_00139	hypothetical protein	LFTS_01849	~~~~~~hypothetical protein
BDKBJLID_00140
BDKBJLID_00141	hypothetical protein	LFTS_01850	~~~~~~hypothetical protein
BDKBJLID_00142	MFS transporter, DHA2 family, multidrug resistance protein	LFTS_01851	~~~~~~MFS transporter, DHA2 family, multidrug resistance protein	Major facilitator Superfamily				ko:K03446		EGP
