Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
Cellulose production	LFTS_00736	bcsQ	Cellulose biosynthesis protein	BDKBJLID_01616	Cellulose biosynthesis protein BcsQ	LFTS_00736	~~~~~~Cellulose biosynthesis protein BcsQ	cellulose synthase operon protein YhjQ						D
	LFTS_00738	bcsB	Cellulose synthase subunit	BDKBJLID_01619	cellulose synthase subunit B, Bcsb, catalytic subunit	LFTS_00738	~~~~~~cellulose synthase subunit	type IV pilus assembly PilZ	bcsA	GO:0000271,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0016020,GO:0016051,GO:0030243,GO:0030244,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0051273,GO:0051274,GO:0071704,GO:0071944,GO:0090540,GO:1901576	2.4.1.12	ko:K00694		M
	LFTS_00739	bcsA	Cellulose synthase (UDP-forming)	BDKBJLID_01620	cellulose synthase (UDP-forming)	LFTS_00739	2.4.1.12~~~~~~cellulose synthase (UDP-forming)	type IV pilus assembly PilZ	bcsA	GO:0000271,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0016020,GO:0016051,GO:0030243,GO:0030244,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0051273,GO:0051274,GO:0071704,GO:0071944,GO:0090540,GO:1901576	2.4.1.12	ko:K00694		M
	LFTS_02306	rexA	Cellulase family 8, oligosaccharide reducing-end xylanase	BDKBJLID_00612	Cellulase family 8	LFTS_02306	3.2.1.4~~~~~~Cellulase family 8	PFAM glycoside hydrolase family 8	bcsZ	GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0005576,GO:0008810,GO:0016787,GO:0016798	3.2.1.4	ko:K01179,ko:K20542		G
	LFTS_02307	bcsB	Cellulose synthase subunit	BDKBJLID_00613	cellulose synthase subunit	LFTS_02307	~~~~~~cellulose synthase subunit	cellulose synthase	bcsB	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944		ko:K20541		M
	LFTS_02308	bcsA	Cellulose synthase (UDP-forming) PilZ domain-containing protein	BDKBJLID_00614	PilZ domain-containing protein	LFTS_02308	~~~~~~PilZ domain-containing protein	cellulose synthase	bcsA		2.4.1.12	ko:K00694		M
	LFTS_02310	bcsA	Cellulose synthase (UDP-forming)	BDKBJLID_00616	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	LFTS_02310	~~~~~~Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	Cellulose synthase	bcsA	GO:0000271,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0016020,GO:0016051,GO:0030243,GO:0030244,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0051273,GO:0051274,GO:0071704,GO:0071944,GO:0090540,GO:1901576	2.4.1.12	ko:K00694		M
	LFTS_02311	bcsC	Probable cellulose synthase operon protein C	BDKBJLID_00617	Tetratricopeptide repeat-containing protein	LFTS_02311	~~~~~~Tetratricopeptide repeat-containing protein	Cellulose synthase operon protein C C-terminus (BCSC_C)						D
putative pel operon	LFTS_01242	pelG	Putative membrane protein	BDKBJLID_02102	Glycosyltransferase involved in cell wall bisynthesis	LFTS_01242	~~~~~~Glycosyltransferase involved in cell wall bisynthesis	Glycosyl transferases group 1	pelF			ko:K21011,ko:K21012		M
	LFTS_01243	pelF	Pellicle/biofilm biosynthesis glycosyltransferase	BDKBJLID_02103	hypothetical protein	LFTS_01243	~~~~~~hypothetical protein
	LFTS_01244	"mpeU 
(pelE)"	Bilin biosynthesis protein	BDKBJLID_02104	hypothetical protein	LFTS_01244	~~~~~~hypothetical protein	Gaf domain	ytrP			ko:K21009		T
	LFTS_01245	pelD	Response regulator receiver modulated diguanylate cyclase	BDKBJLID_02105	Glycoside-hydrolase family GH114	LFTS_01245	~~~~~~Glycoside-hydrolase family GH114	Glycoside-hydrolase family GH114				ko:K21006		S
	LFTS_01246		Glycoside-hydrolase family GH114	BDKBJLID_02106	TolB amino-terminal domain-containing protein	LFTS_01246	~~~~~~TolB amino-terminal domain-containing protein	cAMP biosynthetic process	pelC			ko:K21008		S
	LFTS_01247	"lpoB 
(pelC)"	Outer membrane lipoprotein	BDKBJLID_02107	Tetratricopeptide repeat protein	LFTS_01247	~~~~~~Tetratricopeptide repeat protein	chaperone-mediated protein folding				ko:K20543		L
	LFTS_01248		Putative PEP-CTERM system tetratricopeptide repeat lipoprotein	BDKBJLID_02108	Tetratricopeptide repeat-containing protein	LFTS_01248	~~~~~~Tetratricopeptide repeat-containing protein	chaperone-mediated protein folding				ko:K20543		L
	LFTS_01249		Putative PEP-CTERM system tetratricopeptide repeat lipoprotein	BDKBJLID_02109	putative membrane protein-like protein	LFTS_01249	~~~~~~putative membrane protein-like protein	Glycoside-hydrolase family GH114	pelA		6.1.1.16	ko:K01884,ko:K21006		S
	LFTS_01250	pelA	"Putative membrane protein-like protein, polysaccharide 
deacetylase"	BDKBJLID_02111	WYL domain-containing protein	LFTS_01250	~~~~~~WYL domain-containing protein	WYL domain						K
Lipopolysaccharide synthesis	LFTS_00080	lkxH	UDP-2,3-diacylglucosamine pyrophosphatase	BDKBJLID_00931	serine/threonine protein phosphatase	LFTS_00080	~~~~~~UDP-2,3-diacylglucosamine pyrophosphatase LpxH	Hydrolyzes the pyrophosphate bond of UDP-2,3- diacylglucosamine to yield 2,3-diacylglucosamine 1-phosphate (lipid X) and UMP by catalyzing the attack of water at the alpha-P atom. Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell	lpxH		3.6.1.54	ko:K03269		M
