Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
NADH dehydrogenase	LFTS_00278		NAD(P)H-flavin reductase	BDKBJLID_01140	NAD(P)H-flavin reductase	LFTS_00278	~~~~~~NAD(P)H-flavin reductase	Oxidoreductase FAD-binding domain			1.16.1.3,1.5.1.41	ko:K02823,ko:K05368		C
	LFTS_01220  	ndhF	NAD(P)H-quinone oxidoreductase subunit 5	BDKBJLID_02080	hypothetical protein	LFTS_01220	~~~~~~hypothetical protein	addiction module antidote protein						K
	LFTS_01821	ndhF	NAD(P)H-quinone oxidoreductase subunit 5	BDKBJLID_00108	NADH ubiquinone oxidoreductase subunit 5 chain L	LFTS_01821	1.6.5.3~~~~~~NAD(P)H-quinone oxidoreductase subunit 5	NADH-quinone oxidoreductase			1.6.5.3	ko:K00341,ko:K05577,ko:K09822		CP
	LFTS_01828	ndhF	NAD(P)H-quinone oxidoreductase subunit 5	BDKBJLID_00115	NADH ubiquinone oxidoreductase subunit 5	LFTS_01828	1.6.5.3~~~~~~NAD(P)H-quinone oxidoreductase subunit 5	NADH-quinone oxidoreductase			1.6.5.3	ko:K00341,ko:K05577,ko:K09822		CP
	LFTS_00687	nuoA	NADH-quinone oxidoreductase subunit A	BDKBJLID_01566	putative NADH dehydrogenase (ubiquinone), subunit A	LFTS_00687	1.6.5.3~~~nuoA~~~NADH dehydrogenase subunit A	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoA		1.6.5.3	ko:K00330		C
	LFTS_00688	nuoB	NADH-quinone oxidoreductase subunit B	BDKBJLID_01567	NADH dehydrogenase (ubiquinone), B subunit	LFTS_00688	1.6.5.3~~~nuoB~~~NADH dehydrogenase subunit B	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoB		1.6.5.3	ko:K00331		C
	LFTS_00689	nuoC	NADH-quinone oxidoreductase subunit C	BDKBJLID_01568	NADH dehydrogenase (quinone), chain C	LFTS_00689	1.6.5.3~~~nuoC~~~NADH dehydrogenase subunit C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoC	GO:0003674,GO:0003824,GO:0003954,GO:0006091,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0022900,GO:0022904,GO:0034641,GO:0042773,GO:0042775,GO:0044237,GO:0044238,GO:0044281,GO:0045333,GO:0046034,GO:0046483,GO:0050136,GO:0055086,GO:0055114,GO:0071704,GO:0072521,GO:1901135,GO:1901360,GO:1901564	1.6.5.3	ko:K00332	iAF987.Gmet_3353	C
	LFTS_00690	nuoD	NADH-quinone oxidoreductase subunit D	BDKBJLID_01569	NADH dehydrogenase (ubiquinone), D subunit	LFTS_00690	1.6.5.3~~~nuoD~~~NADH-quinone oxidoreductase subunit D	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoD	GO:0003674,GO:0003824,GO:0003954,GO:0006091,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0022900,GO:0022904,GO:0034641,GO:0042773,GO:0042775,GO:0044237,GO:0044238,GO:0044281,GO:0045333,GO:0046034,GO:0046483,GO:0050136,GO:0055086,GO:0055114,GO:0071704,GO:0072521,GO:1901135,GO:1901360,GO:1901564	1.6.5.3	ko:K00333,ko:K13378		C
	LFTS_00691	nuoE	NADH-quinone oxidoreductase subunit E	BDKBJLID_01570	putative NADH dehydrogenase (ubiquinone), E subunit	LFTS_00691	1.6.5.3~~~~~~NADH-quinone oxidoreductase subunit E	Thioredoxin-like [2Fe-2S] ferredoxin	nuoE		1.6.5.3	ko:K00334		C
	LFTS_01451  	nuoF	NADH-quinone oxidoreductase subunit F	BDKBJLID_02316	NADH ubiquinone oxidoreductase	LFTS_01451	1.6.5.3~~~~~~NADH-quinone oxidoreductase subunit F	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	sfrB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009061,GO:0009987,GO:0015980,GO:0016020,GO:0016491,GO:0044237,GO:0044424,GO:0044464,GO:0045333,GO:0055114,GO:0071944	1.12.1.3,1.17.1.10,1.6.5.3	ko:K00335,ko:K15022,ko:K18331		C
