Subsystem	Locus Tag	Gene	Predicted Function
Cellulose production	LFTS_00736	bcsQ	Cellulose biosynthesis protein
	LFTS_00738	bcsB	Cellulose synthase subunit
	LFTS_00739	bcsA	Cellulose synthase (UDP-forming)
	LFTS_02306	rexA	Cellulase family 8, oligosaccharide reducing-end xylanase
	LFTS_02307	bcsB	Cellulose synthase subunit
	LFTS_02308	bcsA	Cellulose synthase (UDP-forming) PilZ domain-containing protein
	LFTS_02310	bcsA	Cellulose synthase (UDP-forming)
	LFTS_02311	bcsC	Probable cellulose synthase operon protein C
putative pel operon	LFTS_01242	pelG	Putative membrane protein
	LFTS_01243	pelF	Pellicle/biofilm biosynthesis glycosyltransferase
	LFTS_01244	"mpeU 
(pelE)"	Bilin biosynthesis protein
	LFTS_01245	pelD	Response regulator receiver modulated diguanylate cyclase
	LFTS_01246		Glycoside-hydrolase family GH114
	LFTS_01247	"lpoB 
(pelC)"	Outer membrane lipoprotein
	LFTS_01248		Putative PEP-CTERM system tetratricopeptide repeat lipoprotein
	LFTS_01249		Putative PEP-CTERM system tetratricopeptide repeat lipoprotein
	LFTS_01250	pelA	"Putative membrane protein-like protein, polysaccharide 
deacetylase"
Lipopolysaccharide synthesis	LFTS_00080	lkxH	UDP-2,3-diacylglucosamine pyrophosphatase
	LFTS_00081		1,2-diacylglycerol 3-beta-galactosyltransferase
	LFTS_01292	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
	LFTS_01293	fabZ	3R-hydroxymyristoyl-[acyl-carrier-protein] dehydratase
	LFTS_01294	lpxA	UDP-N-acetylglucosamine O-acyltransferase
	LFTS_01297	lpxB	Lipid-A-disaccharide synthase
	LFTS_01299	msbA	"Fused lipid transporter subunits of ABC superfamily: membrane 
component/ATP-binding cassette"
	LFTS_01300	"kdtA, 
waaA"	3-deoxy-D-manno-octulosonic-acid transferase
	LFTS_01301	lpxK	Lipid A tetraacyldisaccharide 4'-kinase
	LFTS_01302	lpxL	Lauryl-acyl carrier protein (ACP)-dependent
	LFTS_01303	rfaF	ADP-heptose:LPS heptosyltransferase II
	LFTS_01304	rfaC	ADP-heptose:LPS heptosyl transferase I
	LFTS_01305	rfaC	ADP-heptose:LPS heptosyl transferase I
	LFTS_01306	kdtX	Lipopolysaccharide core biosynthesis glycosyl transferase
	LFTS_01307	wbdM	Glycosyltransferase
	LFTS_01298		Glycosyl transferase family protein
	LFTS_01308		Glycosyl transferase family protein
	LFTS_01310		Glycosyl transferase family protein
	LFTS_01311	rfaF	ADP-heptose:LPS heptosyltransferase II
	LFTS_01312	gmhB	D,D-heptose 1,7-bisphosphate phosphatase
	LFTS_01314	rfaF	ADP-heptose:LPS heptosyltransferase II
	LFTS_01315	rfaQ	Lipopolysaccharide core biosynthesis protein
	LFTS_01316	pgaB	"Biofilm adhesin polysaccharide PGA export lipoprotein with a 
polysaccharide deacetylase activity needed for export"
	LFTS_01317	pimB	Group 1 glycosyl transferase
	LFTS_01323	rfaL	O-antigen ligase
	LFTS_01328	arnT	4-amino-4-deoxy-L-arabinose transferase
	LFTS_01329	rfaF	ADP-heptose:LPS heptosyltransferase II
	LFTS_01330	DPM1	Dolichol-phosphate mannosyltransferase
	LFTS_01331	arnT	4-amino-4-deoxy-L-arabinose transferase
	LFTS_01345	lptG	"Lipopolysaccharide export ABC permease of the LptBFGC export 
complex"
	LFTS_01346	lptF	"Lipopolysaccharide export ABC permease of the LptBFGC export 
complex"
	LFTS_01629	rfaD	ADP-L-glycero-D-mannoheptose-6-epimerase
	LFTS_01631	mef	Macrolide-efflux protein
